cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,NETINBM,NETIMIN,netinc,ntlnls,eqcdiv,eqcstkrx,noij
"33867","13327","2142155","2125813","QUAD CITY BANK AND TRUST COMPANY","Bettendorf","IA","52722","12/31/2021","5/18/2022","SM","2118 Middle Rd.","QCR HOLDINGS INC","5","0","1","4","0","Scott","19340","Davenport-Moline-Rock Island, IA-IL","1/7/1994","1/7/1994","8/31/2017","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.qcbt.com","70226","3994","66232","1519","18031","8086","2074","466","7405","40106","23864","3933","12309","42638","15","8037","34616","0","34616","0","34616","1746","0","0","34603.85"
"21848","10048","507152","1057962","QUAIL CREEK BANK, NATIONAL ASSOCIATION","Oklahoma City","OK","73120","12/31/2021","5/18/2022","N","12201 N. May Ave.","QUAIL CREEK BANCSHARES INC","1","0","0","4","1","Oklahoma","36420","Oklahoma City, OK","12/4/1974","12/4/1974","7/17/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","quailcreek.bank","27243","1773","25470","550","2317","0","635","","1682","14976","9578","1184","4214","12261","0","642","11619","0","11619","0","11619","637","10917","0","11619"
"35497","0","815277","3681316","QUAINT OAK BANK","Southampton","PA","18966","12/31/2021","5/18/2022","SB","501 Knowles Ave.","QUAINT OAK BCORP INC","3","0","0","4","0","Bucks","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1926","1/1/2000","3/23/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.quaintoak.com","25337","3864","21473","2201","11254","0","237","0","11017","21102","15496","1824","3782","9424","362","2591","7195","0","7195","418","6777","0","1000","108","6909.02"
"34110","15711","2354387","2354369","QUANTUM NATIONAL BANK","Suwanee","GA","30024","12/31/2021","5/18/2022","N","505 Peachtree Industrial Blv","QUANTUM CAPITAL CORP","3","0","0","4","1","Gwinnett","12060","Atlanta-Sandy Springs-Roswell, GA","12/27/1995","12/27/1995","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.quantumbank.com","30218","859","29359","-1135","5550","0","171","0","5379","14793","8885","839","5069","21251","40","120","21171","0","21171","0","21171","-78","18464","0","21131.4"
"28776","2338","634973","","QUARRY CITY SAVINGS AND LOAN ASSOCIATION","Warrensburg","MO","64093","12/31/2021","5/18/2022","SA","713 Pca Rd.","","1","0","0","8","0","Johnson","","","1/1/1890","10/19/1953","10/24/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","quarrycity.com","2208","389","1819","0","1113","0","18","","1095","2789","1927","137","725","143","0","21","122","0","122","0","122","0","0","0","122"
"2138","12255","960935","1130904","QUEENSBOROUGH NATIONAL BANK & TRUST COMPANY","Louisville","GA","30434","12/31/2021","5/18/2022","N","113 E Broad St","QUEENSBOROUGH CO THE","25","0","0","4","0","Jefferson","","","1/1/1902","1/1/1934","9/27/2021","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","http://www.qnbtrust.bank","57522","3035","54487","-1000","22603","356","7841","0","14406","51603","32686","3512","15405","26487","98","6147","20438","0","20438","0","20438","95","2200","0","20360.58"
"15629","0","592550","1143128","QUOIN FINANCIAL BANK","Miller","SD","57362","12/31/2021","5/18/2022","NM","201 N. Broadway","M&H FINANCIAL SERVICES INC","3","0","0","2","0","Hand","","","1/1/1938","11/14/1938","12/7/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","www.quoinbank.com","8567","1083","7484","0","1495","0","108","0","1387","5621","4082","573","966","3358","22","785","2595","0","2595","0","2595","-116","1200","0","2577.62"
"57807","17974","3340725","4098537","QUONTIC BANK","New York","NY","10020","12/31/2021","5/18/2022","SA","1 Rockefeller Plz","QUONTIC BANK ACQUISITION CORP","3","0","0","5","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","3/14/2005","3/14/2005","8/19/2019","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.quontic.com","36688","6996","29692","-1032","99726","0","21","","99705","57466","30283","4596","22587","72984","0","22015","50969","0","50969","0","50969","-112","0","0","50969"
"58935","0","3821037","4478027","R BANK","Round Rock","TX","78665","12/31/2021","5/18/2022","NM","3600 E Palm Valley Blvd","R CORP FINANCIAL","11","0","0","4","0","Williamson","12420","Austin-Round Rock, TX","6/22/2009","6/22/2009","10/1/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.R.Bank","34685","3418","31267","1571","2623","0","1499","0","1124","23763","13421","3543","6799","8556","76","1713","6919","0","6919","0","6919","58","3150","0","6858.2"
"22138","11806","514936","1085228","RABUN COUNTY BANK","Clayton","GA","30525","12/31/2021","5/18/2022","NM","121 Rickman St.","LIBERTY BCORP OF GEORGIA INC","3","0","0","8","0","Rabun","","","10/10/1975","10/10/1975","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","https://www.rabuncountybank.com","6955","347","6608","0","2200","0","213","","1987","6020","3910","410","1700","2788","0","691","2097","0","2097","0","2097","-61","816","0","2097"
"245","13420","102342","1205905","RACCOON VALLEY BANK","Perry","IA","50220","12/31/2021","5/18/2022","NM","1202 2nd St.","GREENE INVESTMENT CO","5","0","0","4","1","Dallas","19780","Des Moines-West Des Moines, IA","1/1/1927","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","WWW.RACCOONVALLEYBANK.COM","12854","1256","11598","0","1762","35","182","","1545","7999","4377","1408","2214","5361","349","290","5420","0","5420","0","5420","11","3534","0","5088.45"
