cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,LNPLEDGE,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"30434","5332","332671","","MORGANTON SAVINGS BANK, S.S.B.","Morganton","NC","28655","12/31/2021","5/18/2022","SB","100 S. King St.","","1","0","0","4","0","Burke","25860","Hickory-Lenoir-Morganton, NC","1/1/1903","12/28/1959","6/6/2012","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","www.morgantonsavings.com","67115","2390","69505","14","69519","69423","69423","12036","13786","9735","4051","7436","36165","0","","0","0","","67","0","0","0","67","29","","0","29","0","0","0","","37603","0","0","7213","4823","0",""
"275","0","330949","1119217","MORGANTOWN BANK & TRUST COMPANY, INCORPORATED","Morgantown","KY","42261","12/31/2021","5/18/2022","NM","201 N Main St.","MORGANTOWN DEPOSIT BCORP INC","5","0","0","8","0","Butler","14540","Bowling Green, KY","9/1/1880","1/1/1934","8/1/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","https://www.morgantownbank.com","169405","1441","170846","0","170846","150156","150156","8858","20188","4144","16044","5103","95397","20610","","2984","9157","","8540","0","0","3922","4618","9","","9","0","0","0","0","","82638","13","13","6703","2155","1441",""
"17910","0","423739","1417212","MORRIS BANK","Dublin","GA","31021","12/31/2021","5/18/2022","NM","301 Bellevue Ave.","MORRIS STATE BANCSHARES INC","9","0","0","4","0","Laurens","","","11/29/1954","10/2/1958","9/27/2021","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","http://morrisstate.com","913955","12008","925963","2288","928251","778488","778488","163868","343958","131917","212041","32115","200228","38319","","12111","111490","","23676","0","285","8141","15250","2486","","1901","585","0","0","0","","177959","5212","4807","32059","131809","12008",""
"18429","10842","825146","2762795","MORTON COMMUNITY BANK","Morton","IL","61550","12/31/2021","5/18/2022","NM","721 W. Jackson St.","HOMETOWN CMTY BCORP EMPLOYEE STK OWNERSHIP PLAN&TR","44","0","0","4","1","Tazewell","37900","Peoria, IL","8/26/1961","8/26/1961","12/11/2020","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.hometownbanks.com","2672599","39265","2711864","0","2711864","1961256","1961256","142180","801875","312536","489339","430406","398391","188404","","110398","429070","0","99546","2916","56885","9378","30367","111594","","93423","16334","1837","0","0","0","1273477","3030","2302","15485","126695","39265",""
"9037","13222","259442","2510428","MOUND CITY BANK","Platteville","WI","53818","12/31/2021","5/18/2022","NM","25 E. Pine St.","MOUND CTY FINL SERVICES INC","6","0","0","2","0","Grant","","","2/15/1915","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.moundcitybank.com","315508","6072","321580","0","321580","261936","261936","12941","85048","24149","60899","32709","78050","53188","","46560","6666","","2552","0","41","1240","1271","3866","","3801","65","0","0","0","","106377","8941","8849","6953","5988","4074",""
"8028","13899","807432","2349516","MOUNT VERNON BANK","Mount Vernon","GA","30445","12/31/2021","5/18/2022","NM","101 S Railroad Ave","HEART OF GA BANCSHARES INC","3","0","0","8","1","Montgomery","","","1/24/1901","1/1/1934","9/27/2021","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","http://www.mvbankonline.com","76409","973","77382","0","77382","58415","58415","3551","20613","12621","7992","0","22006","12245","","648","12218","","3134","0","0","1146","1988","2967","","2967","0","0","0","0","","34973","269","236","965","2586","0",""
"10494","13676","890649","1140912","MOUNT VERNON BANK AND TRUST COMPANY","Mount Vernon","IA","52314","12/31/2021","5/18/2022","NM","206 1st St. W.","MOUNT VERNON BCORP","2","0","0","8","0","Linn","16300","Cedar Rapids, IA","1/1/1884","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.mountvernonbank.com","101344","1098","102442","0","102442","78694","78694","5156","12903","10383","2520","140","47139","13356","","7478","8748","","7503","29","0","4726","2748","19","","0","19","0","0","0","","29072","0","0","4807","349","0",""
"4931","12534","1016231","3416965","MOUNTAIN COMMERCE BANK","Knoxville","TN","37919","12/31/2021","5/18/2022","NM","6101 Kingston Pike","MOUNTAIN COMMERCE BCORP INC","5","0","0","4","0","Knox","28940","Knoxville, TN","1/1/1910","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.mcb.com","1060323","10524","1070847","0","1070847","912952","912952","64168","441560","190162","251398","68868","325900","12456","","0","146579","0","11315","1685","0","968","8662","0","","0","0","0","0","0","0","354824","0","0","23661","40507","10910",""
"58341","0","3459207","5217483","MOUNTAIN PACIFIC BANK","Everett","WA","98201","12/31/2021","5/18/2022","NM","3732 Broadway","MOUNTAIN PACIFIC BCORP INC","4","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","7/24/2006","7/24/2006","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","http://www.mp.bank","455736","8696","464432","0","464432","375151","375151","58632","235618","95571","140047","21903","57032","1966","","28786","49712","","1034","115","22","2","895","9750","","0","9250","0","500","0","","57440","44","44","40672","17960","6189",""
"1705","0","714437","1134751","MOUNTAIN VALLEY BANK","Dunlap","TN","37327","12/31/2021","5/18/2022","NM","17114 Rankin Ave","SEQUATCHIE COUNTY BCORP INC","5","0","0","8","0","Sequatchie","16860","Chattanooga, TN-GA","1/1/1905","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.mtnvalleybankonline.com","91360","899","92259","391","92650","74529","74529","9225","9147","3286","5861","5725","48714","1718","","534","10194","","6630","59","26","1964","4581","763","","735","28","0","0","0","","0","445","19","5334","3891","899",""
