 CUSIP              CALLTYPE             STARTDT          ENDDT            NEXTCALL         DATE     F  SIMPNDX FORMULA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 3130AGGM1          OPR                  20220524         20280524         20220524         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGK38          OPR                  20220606         20340606         20220606         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGME2          OPR                  20220627         20290627         20220627         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGMT9          OPR                  20220624         20260624         20220624         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGR98          OPR                  20220718         20290718         20220718         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGT21          OPR                  20220726         20290726         20220726         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGU78          OPR                  20220809         20290809         20220809         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGUS2          OPR                  20240813         20290813         20240813         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGVG7          OPR                  20220815         20290815         20221115         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGX26          OPR                  20220823         20290823         20221123         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AGXZ3          OPR                  20220906         20290906         20220906         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AH2X0          OPR                  20220919         20290919         20220919         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AH3J0          OPR                  20220919         20340919         20220919         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AH3P6          OPR                  20220923         20260923         20220923         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AH3Z4          OPR                  20240924         20290924         20240924         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AH4L4          OPR                  20220926         20340926         20220926         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AH4Z3          OPR                  20220926         20290926         20220926         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AH6D0          OPR                  20241002         20341002         20241002         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AH6Y4          OPR                  20230927         20290927         20230927         FLEX     Q        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AHBH5          OPR                  20221017         20291017         20221017         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AHCK7          OPR                  20211025         20391025         20211025         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AHCX9          OPR                  20221018         20291018         20221018         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AHEC3          OPR                  20221024         20291024         20221024         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AHEU3          OPR                  20221101         20291101         20221101         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AHHB2          OPR                  20221108         20271108         20221108         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AHHC0          OPR                  20241106         20291106         20241106         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
