 CUSIP              CALLTYPE             STARTDT          ENDDT            NEXTCALL         DATE     F  SIMPNDX FORMULA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
 3130AK3E4          OPR                  20210308         20230908         20210308         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3F1          OPR                  20201203         20250903         20201203         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3G9          OPR                  20201210         20280310         20201210         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3J3          OPR                  20210309         20310909         20210309         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3L8          OPR                  20210910         20350910         20210910         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3M6          OPR                  20210910         20400910         20210910         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3R5          OPR                  20210308         20240308         20210308         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3S3          OPR                  20210929         20230929         20210929         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3T1          OPR                  20201209         20241209         20201209         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3U8          OPR                  20210922         20270922         20210922         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3V6          OPR                  20210930         20300930         20210930         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3W4          OPR                  20210914         20290914         20210914         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3X2          OPR                  20210311         20340911         20210311         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK3Z7          OPR                  20210929         20250929         20210929         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK4J2          OPR                  20210317         20350917         20210317         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK4P8          OPR                  20210910         20400910         20210910         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK4S2          OPR                  20201211         20230911         20201211         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK4T0          OPR                  20201211         20250911         20201211         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK4U7          OPR                  20201210         20270910         20201210         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK4V5          OPR                  20210910         20350910         20210910         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK4Y9          OPR                  20210322         20270922         20210322         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK4Z6          OPR                  20201224         20300924         20201224         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK5J1          OPR                  20210318         20260918         20210318         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK5K8          OPR                  20210329         20310929         20210329         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK5L6          OPR                  20201228         20350928         20201228         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK5S1          OPR                  20210915         20450915         20210915         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK5Y8          OPR                  20210921         20280921         20210921         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK5Z5          OPR                  20250918         20350918         20250918         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6E1          OPR                  20201221         20270921         20201221         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6F8          OPR                  20201221         20230921         20201221         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6G6          OPR                  20201223         20240923         20201223         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6H4          OPR                  20210322         20250922         20210322         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6J0          OPR                  20210329         20221229         20210329         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6K7          OPR                  20210924         20280324         20210924         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6L5          OPR                  20210324         20290924         20210324         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6M3          OPR                  20210330         20330930         20210330         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6U5          OPR                  20201230         20260930         20201230         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6V3          OPR                  20230922         20270922         20230922         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6W1          OPR                  20210323         20300923         20210323         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK6X9          OPR                  20210324         20400924         20210324         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AK7K6          OPR                  20210325         20450925         20210325         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKA55          OPR                  20201224         20250924         20201224         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKA63          OPR                  20201224         20270924         20201224         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKA71          OPR                  20210408         20301008         20210408         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKA89          OPR                  20210415         20351015         20210415         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAF3          OPR                  20210105         20231005         20210105         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAG1          OPR                  20210406         20281006         20210406         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAM8          OPR                  20210106         20270406         20210106         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAN6          OPR                  20210405         20271005         20210405         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAP1          OPR                  20231005         20271005         20231005         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAQ9          OPR                  20211007         20301007         20211007         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAS5          OPR                  20211005         20351005         20211005         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAT3          OPR                  20211005         20221005         20211005         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAX4          OPR                  20210105         20231005         20210105         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAY2          OPR                  20210107         20241007         20210107         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKAZ9          OPR                  20210329         20250929         20210329         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKB21          OPR                  20210405         20341005         20210405         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKB39          OPR                  20211005         20351005         20211005         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKB70          OPR                  20211005         20281005         20211005         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKB88          OPR                  20211001         20301001         20211001         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKB96          OPR                  20231002         20301002         20231002         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKBB1          OPR                  20211005         20271005         20211005         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKBJ4          OPR                  20210423         20401023         20210423         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKBK1          OPR                  20210105         20230405         20210105         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKBS4          OPR                  20210414         20321014         20210414         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKBU9          OPR                  20210415         20271015         20210415         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKBV7          OPR                  20211015         20351015         20211015         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKBW5          OPR                  20210115         20240415         20210115         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKBX3          OPR                  20210415         20251015         20210415         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKC38          OPR                  20210416         20350416         20210416         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKC46          OPR                  20210119         20261019         20210119         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKC53          OPR                  20210416         20281016         20210416         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 3130AKC61          OPR                  20211015         20401015         20211015         CONT     D        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
