"ID System: Letters of Credit"
"","Title","Variable","Definition"
"1.","Financial and Performance Standby Letters of Credit & Foreign Office Guarantees","locfpsb","The amount of outstanding and unused financial standby letters of credit, foreign office guarantees, performance standby letters of credit, and foreign office guarantees (including cash collateral standby letters of credit)."
"2.","Standby Letters of Credit Amount Conveyed To Others","locfpsbk","That portion of financial standby letters of credit, foreign office guarantees, performance standby letters of credit, and foreign office guarantees (including cash collateral standby letters of credit) conveyed to others."
"3.","Financial Standby Letters of Credit & Foreign Office Guarantees","locfsb","The amount of outstanding and unused financial standby letters of credit and foreign office guarantees."
"4.","Amount Conveyed To Others","locfsbk","That portion of financial standby letters of credit and foreign office guarantees conveyed to others."
"5.","Performance Standby Letters of Credit","locpsb","The amount of outstanding and unused performance standby letters of credit.  A performance standby letter of credit irrevocably obligates the financial institution to pay a third party beneficiary when a customer fails to perform some contractual nonfinancial obligation."
"6.","Letter of Credit Amount Conveyed To Others","locpsbk","That portion of performance standby letters of credit and foreign office guarantees conveyed to others."
"7.","Commercial and Similar Letters of Credit","loccom","The amount of outstanding and unused commercial and similar letters of credit.  Issued or confirmed commercial letters of credit, non-monetary travelers' letters of credit and similar non-standby letters of credit are issued specifically to facilitate trade or commerce."
