"ID System: Transaction Accounts"
"","Title","Variable","Definition"
"1.","Transaction Accounts","trn"," The sum of the following accounts held in domestic offices: demand deposits, NOW accounts, Automated Transfer Service (ATS) accounts and telephone or preauthorized transfer accounts. prior to 2004, This item is not available for TFR Reporters.TFR reports ended December 2011."
"2.","Transaction Accounts:Individuals, Partnerships and Corporations, including Check","trnipcoc"," Transaction deposits of Individuals, partnerships and corporations including certified and official checks held in domestic offices.    This item is not available for TFR Reporters.TFR reports ended December 2011."
"3.","Transaction Accounts:U.S. Government","trnusgov","Total transaction accounts of federal public funds made by or for the account of the U.S. government which are held in domestic offices."
"4.","Transaction Accounts:States and Political Subdivisions in U.S.","trnmuni","Total transaction accounts of states, counties, municipalities, and local housing authorities (or political subdivisions) held in domestic offices.  Included are deposits of funds advanced to states and political subdivisions by the U.S. government and corporations, and deposits of withheld income taxes of states and political subdivisions. "
"5.","Transaction Accounts:Commercial Banks and Other Depository Institutions in The U","trncbo"," Transaction accounts of commercial banks and other depository institutions in the U.S.    This item is not available for TFR Reporters.TFR reports ended December 2011."
"6.","Transaction Accounts: Foreign Countries and Governments","trnfcfg","Total transaction accounts of banks in foreign countries, foreign government and official institutions (includes foreign central banks) held in domestic offices."
"7.","Transaction Accounts: Foreign Countries","trnfc","Total transaction accounts of banks in foreign countries held in domestic offices.  This item is not reported by institutions with less than $100 million in total assets."
"8.","Total Transaction Accounts: Foreign Governments and Official Institutions","trnfg","Total transaction accounts of foreign governments and official institutions (includes foreign central banks) held in domestic offices. This item is not reported by institutions with less than $100 million in total assets. "
