"ID System: 1-4 Family Residential Net Loans and Leases"
"","Title","Variable","Definition"
"1.","Number of Institutions Reporting","instcnt","The number of institutions represented in that column of data.  This number is used primarily for peer group data. "
"2.","1-4 Family Residential Loans","lnreres","Total loans secured by 1-4 family residential properties (including revolving and open-end loans) held in domestic offices. Note:Prior to 2004 the savings institutions that file a thrift financial report did not report the 1-4 family loans by the sub category first liens and second liens. The data is not available prior to this year.  Commercial banks began reporting that data in 1991"
"3.","Loans Secured By 1-4 Family First Liens","LNRERSFM","Closed-end loans secured by first liens on 1-4 family residential properties and held in domestic offices. Note:Prior to 2004 the savings institutions that file a thrift financial report did not report the 1-4 family loans by the sub category first liens and second liens. The data is not available prior to this year.  Commercial banks began reporting that data in 1991."
"4.","Loans Secured By 1-4 Family Junior Liens","LNRERSF2","Closed-end loans secured by junior liens on 1-4 family residential properties and held in domestic offices. Note: Prior to 2004 the savings institutions that file a thrift financial report did not report the 1-4 family loans by the sub category first liens and second liens. The data is not available prior to this year.  Commercial banks began reporting that data in 1991."
"5.","Home Equity Loans","lnreloc","Open-end loans secured by 1-4 family residential properties extended as lines of credit in domestic offices (included in total 1-4 mortgage loans)."
"6.","Adjustable Rate Loans Secured By 1-4 Family Residential (Memoranda)","LNRERSF1","All other adjustable rate closed-end loans secured by 1-4family residential properties, secured by first liens, andheld in domestic offices Listed as memoranda only and is included in real estate 1-4 family-first liens.     This item is not available for   TFR Reporters  ."
