cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"14944","0","12656","","EMERALD BANK","Burden","KS","67019","12/31/2021","5/18/2022","SM","333 N Main St.","","2","0","0","8","0","Cowley","","","10/1/1884","12/21/1934","12/31/2008","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","http://www.mybankathome.com","19272","19272","16694","0","2578","0","0","0","","9159","5685","10113","2335","3383","4395","13587","5685","13587","18742","18346","741","0","0","0","",""
"12054","7209","137915","3212091","EMIGRANT BANK","New York","NY","10017","12/31/2021","5/18/2022","SB","5 E. 42nd St.","NEW YORK PRIVATE B&T CORP","5","0","0","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","9/30/1850","1/1/1934","11/23/2013","Stock","0","1","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.emigrant.com","4210075","4210075","4078012","9","127334","4720","0","0","","444437","441844","3765638","254565","3184777","326297","3768231","197418","4012657","3498521","4429850","87692","657306","652304","0","",""
"57834","0","3268173","3212091","EMIGRANT MERCANTILE BANK","New York","NY","10017","12/31/2021","5/18/2022","NM","6 E. 43rd St.","NEW YORK PRIVATE B&T CORP","1","0","0","7","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","7/9/2004","7/9/2004","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","500","500","500","0","0","0","0","0","","500","500","0","0","0","0","0","500","0","500","250","0","0","0","0","",""
"57672","0","3277241","3439610","EMPIRE STATE BANK","Newburgh","NY","12550","12/31/2021","5/18/2022","SM","68 N. Plank Rd.","ES BANCSHARES INC","7","0","0","4","0","Orange","39100","                                        39100","6/28/2004","6/28/2004","1/1/2012","Stock","0","0","FED","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.esbna.com","439351","439351","430193","0","5333","3825","0","0","","186542","184064","252809","9623","165718","77468","255287","155059","284292","409488","335281","5696","10040","10040","3577","",""
"4789","14120","65858","1135824","EMPRISE BANK","Wichita","KS","67202","12/31/2021","5/18/2022","NM","257 N. Broadway St.","EMPRISE FINANCIAL CORP","33","0","0","4","1","Sedgwick","48620","Wichita, KS","5/21/1910","1/1/1934","3/26/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.emprisebank.com","2140995","2140995","2081790","9","58925","271","0","0","","1236326","1236326","904669","294090","424751","185828","904669","645026","1495969","2105204","1464558","43054","0","0","0","",""
"34562","0","2594240","2777016","ENCORE BANK","Little Rock","AR","72223","12/31/2021","5/18/2022","SM","1801 Rahling Rd.","ENCORE BANCSHARES INC","11","0","1","4","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","9/8/1997","9/8/1997","2/1/2021","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","http://www.bankencore.com","1339460","1339460","1268730","0","2345","68385","0","0","","231620","231620","1107840","883894","2471","221476","1107840","170195","1169265","1145404","445037","4051","175958","175958","0","",""
"59099","0","5192496","","ENDEAVOR BANK","San Diego","CA","92101","12/31/2021","5/18/2022","NM","750 B St. Suite 3110","","2","0","0","4","0","San Diego","41740","San Diego-Carlsbad, CA","1/22/2018","1/22/2018","8/10/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","www.bankendeavor.com","339347","339347","331896","0","6706","745","0","0","","249413","249413","89934","86303","825","2806","89934","232429","106918","337240","108799","0","0","0","0","",""
"27205","0","1186965","1081239","ENGLEWOOD BANK & TRUST","Englewood","FL","34223","12/31/2021","5/18/2022","NM","1111 S. Mccall Rd.","CREWS BANKING CORP","4","0","0","7","1","Charlotte","39460","Punta Gorda, FL","4/4/1988","4/4/1988","1/1/2012","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","0","www.englewoodbankandtrust.com","481499","481499","479445","0","2054","0","0","0","","268712","230034","212787","22466","185492","4829","251465","230034","251465","480806","391790","1965","0","0","0","",""
"13000","0","435059","1131956","ENNIS STATE BANK","Ennis","TX","75119","12/31/2021","5/18/2022","NM","815 W. Ennis Ave.","ENNIS BANCSHARES INC","4","0","0","4","1","Ellis","19100","Dallas-Fort Worth-Arlington, TX","1/1/1933","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.ennisstatebank.com","272313","272313","237581","0","34732","0","0","0","","149588","100917","122725","64838","30049","27837","171396","100917","171396","265139","189188","3658","0","0","0","",""
"34786","0","2730431","2730048","ENTERPRISE BANK","Allison Park","PA","15101","12/31/2021","5/18/2022","NM","4091 Mount Royal Boulvard","SEED MONEY LTD PARTNERSHIP","1","0","0","4","0","Allegheny","38300","Pittsburgh, PA","10/23/1998","10/23/1998","11/27/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","http://www.enterprisebankpgh.com","280513","280513","266281","0","0","6912","0","7320","","101738","87146","178775","0","69063","109712","193367","4247","276266","183500","187001","3551","99973","93480","198","",""
"33380","0","1836701","3306356","ENTERPRISE BANK","Omaha","NE","68144","12/31/2021","5/18/2022","SM","12800 W. Ctr. Rd.","ENTERPRISE HOLDING CO","3","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","4/10/1991","4/10/1991","12/16/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","https://www.ENTERPRISE.BANK","393716","393716","295914","0","0","97802","0","0","","130382","59012","263334","64974","10389","187971","334704","59012","334704","338080","288176","9216","35513","35513","101735","",""
