cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"57899","0","3317192","4526496","1ST ADVANTAGE BANK","Saint Peters","MO","63376","12/31/2021","5/18/2022","NM","240 Salt Lick Rd.","BANC INVESTORS LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","61047","1932","1981","67","32195","56057","93","693","2","","","7829"
"4122","0","350657","","1ST BANK IN HOMINY","Hominy","OK","74035","12/31/2021","5/18/2022","SM","117 N. Price","","1","0","0","7","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","8/1/2020","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","32964","2375","1961","115","12757","8167","11","322","1","","","2187"
"30367","5236","148470","3848427","1ST BANK OF SEA ISLE CITY","Sea Isle City","NJ","8243","12/31/2021","5/18/2022","SB","4301 Landis Ave.","SEA ISLE FINANCIAL CORP MHC","3","0","0","8","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","144746","8308","5694","369","19392","129827","153","0","0","","","17879"
"57298","0","3048487","3559844","1ST BANK YUMA","Yuma","AZ","85364","12/31/2021","5/18/2022","NM","2799 S. 4th Ave.","WESTERN ARIZONA BCORP INC","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","225459","16245","2833","123","18267","281557","343","554","2","","","12164"
"58485","0","3594797","5533567","1ST CAPITAL BANK","Salinas","CA","93901","12/31/2021","5/18/2022","NM","150 Main St, # 150, Salinas,","1ST CAPITAL BCORP","7","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","10/30/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapitalbank.com","209830","7322","2513","94","6678","699384","652","1545","3","","","4882"
"35456","0","2920773","3118513","1ST COLONIAL COMMUNITY BANK","Collingswood","NJ","8108","12/31/2021","5/18/2022","NM","1040 Haddon Ave.","1ST COLONIAL BCORP INC","4","0","1","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","2/3/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","194961","8159","10741","327","87699","405650","378","1493","5","","","39601"
"11706","12404","338945","1204083","1ST COMMUNITY BANK","Sherrard","IL","61281","12/31/2021","5/18/2022","NM","407 3rd St.","ILLINOIS HOLDING CO","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","46138","2786","202","19","15344","16009","27","0","0","","","3254"
"27552","10064","1412619","2784920","1ST CONSTITUTION BANK","Cranbury","NJ","8512","12/31/2021","5/18/2022","NM","2650 Rt. 130","1ST CONSTITUTION BCORP","26","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","11/8/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","676282","23524","29212","1270","122943","942234","1292","2891","8","","","26372"
"34393","0","2531562","2531553","1ST EQUITY BANK","Skokie","IL","60076","12/31/2021","5/18/2022","NM","3956 W. Dempster St.","FIRST EQUITY CORP","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","5/5/2020","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","65314","1351","4111","114","43967","35431","60","0","0","","","5319"
"31410","6903","535575","3834710","1ST FEDERAL SAVINGS BANK OF SC, INC.","Walterboro","SC","29488","12/31/2021","5/18/2022","SA","300 Robertson Blvd.","FIRST CAROLINA BANCSHARES M H C","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","83736","6965","5752","220","20716","27938","46","300","1","","","1011"
"1673","0","526452","","1ST FINANCIAL BANK USA","Dakota Dunes","SD","57049","12/31/2021","5/18/2022","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","627738","3303","1254","64","587457","61812","53","0","0","","","6878"
"6646","8805","480723","","1ST NATIONAL BANK","Lebanon","OH","45036","12/31/2021","5/18/2022","N","730 E. Main St.","","11","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","12/31/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","135444","9654","3934","241","49691","81264","127","253","1","","","11037"
"57633","0","1018927","4347208","1ST SECURITY BANK OF WASHINGTON","Mountlake Terrac","WA","98043","12/31/2021","5/18/2022","SB","6920 220th St. Sw, # 300","FS BCORP INC","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","1038621","41585","38887","1734","303180","860090","1200","6048","19","","","57511"
"9087","10250","991340","1199602","1ST SOURCE BANK","South Bend","IN","46601","12/31/2021","5/18/2022","SM","100 N. Michigan St, # B","1ST SOURCE CORP","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","3053508","214051","135820","8689","732240","3488288","3268","10674","28","","","137340"
"57626","0","3223305","3223293","1ST STATE BANK","Saginaw","MI","48604","12/31/2021","5/18/2022","NM","4800 Fashion Sq. Blvd, # 100","1ST STATE FINANCIAL LTD","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststate.bank","117075","5668","1211","69","6599","284882","306","0","0","","","3440"
"8426","10595","526519","1830240","1ST SUMMIT BANK","Johnstown","PA","15904","12/31/2021","5/18/2022","NM","125 Donald Ln.","1ST SUMMIT BCORP JOHNSTOWN INC","17","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.bank","626511","50777","91383","5489","280855","412644","510","10128","25","","","57658"
"57869","0","3309393","","1ST TRUST BANK, INC.","Hazard","KY","41701","12/31/2021","5/18/2022","NM","44 Commerce Dr","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","1/28/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","120294","8033","5098","116","68645","110335","161","906","3","","","46555"
"31249","6607","350572","5281989","1ST UNITED BANK","Faribault","MN","55021","12/31/2021","5/18/2022","NM","430 4th St Nw","MIDCOUNTRY ACQUISITION CORP","2","0","0","7","0","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.1stunited.com","119273","7484","4302","218","11785","50981","90","0","0","","","1115"
"9751","0","340256","3304352","21ST CENTURY BANK","Loretto","MN","55357","12/31/2021","5/18/2022","NM","699 N. Medina St.","DOLPHIN FAMILY MANAGEMENT CO","8","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","257623","7561","8437","657","84673","282132","318","0","0","","","0"
"16910","0","449430","3438051","22ND STATE BANK","Louisville","AL","36048","12/31/2021","5/18/2022","NM","1920 Main St.","FEB BANCSHARES INC","6","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","11/13/2020","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.22ndstatebank.com","110009","6918","7407","442","43134","58593","105","0","0","","","6088"
"91005","0","455253","4754758","5STAR BANK","Colorado Springs","CO","80914","12/31/2021","5/18/2022","NM","Peterson Air Force Base, 455","LITTLE LONDON BCORP","6","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","166292","3896","2634","171","42434","188100","208","648","2","","","6446"
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","12/31/2021","5/18/2022","NM","2815 Meredyth Dr.","COMMUNITY CAPITAL BANCSHARES","3","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.abtgold.com","95156","5653","1936","108","8225","122145","163","260","1","","","2988"
"32257","8059","762773","","ABACUS FEDERAL SAVINGS BANK","New York","NY","10013","12/31/2021","5/18/2022","SA","6 Bowery","","6","0","1","5","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.abacusbank.com","217383","22034","3899","514","77388","63508","88","0","0","","","5362"
"30332","5179","114774","","ABBEVILLE BUILDING & LOAN (A STATE-CHARTERED SAVINGS BANK)","Abbeville","LA","70510","12/31/2021","5/18/2022","SB","1212 Charity St","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","11/16/2021","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","29372","1054","1593","91","10542","13123","25","291","1","","","3221"
"30619","5642","416272","","ABBEVILLE FIRST BANK, SSB","Abbeville","SC","29620","12/31/2021","5/18/2022","SB","205 S. Main St","","2","0","0","8","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.abbevillefirst.com","58931","3649","6856","173","23471","18119","25","612","2","","","1221"
"19795","16035","198149","3612794","ABBYBANK","Abbotsford","WI","54405","12/31/2021","5/18/2022","NM","401 E. Spruce St.","ABBY BCORP INC","8","0","0","4","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","10/25/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","www.abbybank.com","301093","18567","29364","1056","86490","213291","332","5245","16","","","31452"
"26590","13875","61476","3728930","ABINGTON BANK","Abington","MA","2351","12/31/2021","5/18/2022","SM","6 Harrison Ave","HOMETOWN FINANCIAL GROUP MHC","6","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1916","3/6/1986","5/1/2021","Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","0","www.abingtonbank.com","294725","19658","19627","892","78759","162891","297","3909","10","","","42360"
"19600","0","535753","2107707","ACADEMY BANK, NATIONAL ASSOCIATION","Kansas City","MO","64108","12/31/2021","5/18/2022","N","1881 Main St","DICKINSON FINANCIAL CORP II","82","0","1","4","0","Jackson","28140","Kansas City, MO-KS","6/15/1966","6/15/1966","3/25/2020","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.academybank.com","1152609","192867","39497","1474","557345","639676","938","1683","6","","","93041"
"4061","13760","266253","1055708","ACB BANK","Cherokee","OK","73728","12/31/2021","5/18/2022","NM","323 S Grand St.","ALFALFA COUNTY BANCSHARES INC","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.acbbank.net","65237","3371","971","30","35489","37381","63","0","0","","","6589"
"58727","0","3614837","3637939","ACCESS BANK","Omaha","NE","68114","12/31/2021","5/18/2022","NM","8712 W. Dodge Rd.","3MV BCORP INC","7","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","5/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","WWW.ACCESSBANK.COM","223064","13162","5415","181","40462","579546","460","563","2","","","12314"
"58562","0","3535848","4556381","ACCESSBANK TEXAS","Denton","TX","76201","12/31/2021","5/18/2022","NM","320 W. Eagle Drive, # 100","ACCESS BCORP INC","5","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","10/22/2007","10/22/2007","5/16/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.ACCESSBANKTX.COM","176724","6390","6974","145","55167","327361","385","0","0","","","28413"
"7506","12499","5210","1117464","ACNB BANK","Gettysburg","PA","17325","12/31/2021","5/18/2022","NM","16 Lincoln Sq.","ACNB CORP","31","0","1","4","0","Adams","23900","Gettysburg, PA","4/11/1857","1/1/1934","1/11/2020","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","0","http://www.acnb.com","1379207","87590","70300","4545","322855","983702","1289","7999","21","","","107197"
"18489","12279","463650","5006472","ADAMS BANK & TRUST","Ogallala","NE","69153","12/31/2021","5/18/2022","SM","315 N. Spruce St.","ADAGE LLC","20","0","1","2","0","Keith","","","2/26/1962","2/26/1962","10/3/2017","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.abtbank.com","664639","27698","18505","652","163423","356463","511","1289","3","","","53990"
"90140","12033","343903","","ADAMS COMMUNITY BANK","Adams","MA","1220","12/31/2021","5/18/2022","SB","2 Ctr. St","","8","0","0","5","0","Berkshire","38340","Pittsfield, MA","5/1/1869","7/24/1985","5/1/2021","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.adamscommunity.com","328372","27919","26589","1465","76927","437278","343","3420","10","","","14840"
"14311","0","9553","1053870","ADAMS COUNTY BANK","Kenesaw","NE","68956","12/31/2021","5/18/2022","NM","401 N. Smith Ave.","FIRST KENESAW CO","2","0","0","2","1","Adams","","","1/1/1878","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","http://www.adamscountybank.net","90887","4404","6024","175","41858","37681","71","253","1","","","7283"
"9812","0","332756","","ADAMS STATE BANK","Adams","NE","68301","12/31/2021","5/18/2022","NM","649 Main St.","","1","0","0","2","1","Gage","","","1/18/1918","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","www.adamsstate.com","31816","1944","2110","98","10308","13117","21","0","0","","","2375"
"28380","1473","101671","2467474","ADIRONDACK BANK","Utica","NY","13501","12/31/2021","5/18/2022","SM","185 Genesee St.","ADIRONDACK BCORP INC","19","0","0","4","0","Oneida","46540","Utica-Rome, NY","1/1/1898","1/25/1936","1/1/2014","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.adirondackbank.com","463174","38086","4018","231","27626","339647","450","254","1","","","21758"
"8251","0","94858","1399505","ADRIAN BANK","Adrian","MO","64720","12/31/2021","5/18/2022","SM","130 E. Main St.","ADRIAN BANCSHARES INC","3","0","0","2","1","Bates","28140","Kansas City, MO-KS","10/18/1932","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.adrianbank.com","116088","8584","4838","187","34136","36474","58","361","1","","","3888"
"8822","0","293352","1125254","ADRIAN STATE BANK","Adrian","MN","56110","12/31/2021","5/18/2022","NM","322 Maine Ave.","ADRIAN BUILDING CORP","1","0","0","2","1","Nobles","","","10/23/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","0","1","www.adrianstatebank.com","33257","1849","2240","116","10466","21117","27","0","0","","","2323"
"29510","3575","321273","5535301","AFFINITY BANK","Covington","GA","30014","12/31/2021","5/18/2022","SA","3175 Hwy. 278","AFFINITY BANCSHARES INC","3","0","0","4","0","Newton","12060","Atlanta-Sandy Springs-Roswell, GA","1/1/1928","1/20/1947","5/7/2021","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.newtonfederal.com","333239","16628","26365","869","77617","263120","490","3692","11","","","19141"
"35267","14939","2909330","","AIG FEDERAL SAVINGS BANK","Wilmington","DE","19809","12/31/2021","5/18/2022","SA","503 Carr Rd, # 130","","1","0","0","5","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5/15/2000","5/15/2000","12/15/2014","Stock","0","1","OCC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","0","","0","0","0","0","0","500","1","0","0","","","500"
"35314","0","2877484","3047583","ALAMERICA BANK","Birmingham","AL","35205","12/31/2021","5/18/2022","NM","2170 Highland Ave.","ALAMERICA BANCCORP INC","1","0","0","4","1","Jefferson","13820","Birmingham-Hoover, AL","1/28/2000","1/28/2000","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://alamericabank.com","7954","297","464","6","7921","5127","16","0","0","","","1195"
"13947","0","869953","1061222","ALAMOSA STATE BANK","Alamosa","CO","81101","12/31/2021","5/18/2022","NM","2225 Main St.","ALAMOSA BCORP LTD","2","0","0","2","1","Alamosa","","","3/1/1907","2/23/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.alamosastatebank.com","116285","8737","4551","182","24949","210733","197","313","1","","","19533"
"17230","0","2732","1208933","ALBANY BANK AND TRUST COMPANY NATIONAL ASSOCIATION","Chicago","IL","60625","12/31/2021","5/18/2022","N","3400 W. Lawrence Ave.","ALBANK CORP","4","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/27/1953","6/27/1953","6/30/2019","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.albanybank.com","211997","7035","10478","361","61699","402304","393","1238","3","","","102549"
"17622","12071","388744","","ALDEN STATE BANK","Alden","MI","49612","12/31/2021","5/18/2022","NM","Coy &helena St.","","4","0","0","4","0","Antrim","","","1/1/1934","6/22/1956","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","http://www.aldenbank.com","156129","9909","6737","293","25843","99667","166","611","2","","","13738"
"9831","0","414102","","ALDEN STATE BANK","Alden","NY","14004","12/31/2021","5/18/2022","SM","13216 Broadway","","3","0","0","4","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","10/5/1916","1/1/1934","5/1/2009","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","WWW.ALDENSTATE.COM","243586","17976","15057","673","37714","128405","155","3224","7","","","16894"
"3931","10999","933256","2067007","ALERUS FINANCIAL, NATIONAL ASSOCIATION","Grand Forks","ND","58201","12/31/2021","5/18/2022","N","401 Demers Ave.","ALERUS FINANCIAL CORP","16","0","1","4","0","Grand Forks","24220","Grand Forks, ND-MN","9/30/1933","1/1/1934","1/16/2016","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.alerus.com","826623","43283","22386","1776","141389","2160060","1325","885","3","","","91522"
"13080","0","585235","1201989","ALGONQUIN STATE BANK","Algonquin","IL","60102","12/31/2021","5/18/2022","NM","2400 Huntington Dr. N.","FIRST ALGONQUIN CO","4","0","0","8","1","Mchenry","16980","Chicago-Naperville-Elgin, IL-IN-WI","3/3/1902","1/1/1934","11/27/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.algonquinstatebank.com","96261","4925","4390","346","9148","43538","67","0","0","","","1419"
"20093","16002","25357","","ALL AMERICA BANK","Oklahoma City","OK","73128","12/31/2021","5/18/2022","NM","200 S. Rockwell Ave.","","7","0","0","2","1","Oklahoma","36420","Oklahoma City, OK","12/22/1969","12/22/1969","6/28/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","https://www.allamerica.bank","308332","23650","8904","273","68248","98229","174","998","3","","","10484"
"58629","0","3579589","3744239","ALLEGIANCE BANK","Houston","TX","77040","12/31/2021","5/18/2022","NM","8727 W. Sam Houston Pkwy. N.","ALLEGIANCE BANCSHARES INC","27","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","10/15/2007","10/15/2007","2/2/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.allegiancebank.com","1702004","44270","26885","743","597478","4371614","3841","2387","6","","","693347"
"197","9807","493741","1138405","ALLIANCE BANK","Francesville","IN","47946","12/31/2021","5/18/2022","NM","101 W. Montgomery St.","ALLIANCE BCORP","7","0","0","2","1","Pulaski","","","7/3/1930","1/1/1934","8/17/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.myalliancebank.com","219301","12766","4719","375","27352","99938","188","723","2","","","3045"
"11569","10383","176464","2127068","ALLIANCE BANK","Sulphur Springs","TX","75482","12/31/2021","5/18/2022","NM","100 Jefferson St W","ALLIANCE BANCSHARES INC","17","0","0","4","1","Hopkins","","","6/16/1927","1/1/1934","4/22/2020","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","alliancebank.com","570688","54892","19901","737","114073","586429","650","1750","6","","","18284"
"34930","0","2694944","2695727","ALLIANCE BANK","Topeka","KS","66614","12/31/2021","5/18/2022","NM","3001 S.W. Wanamaker Rd.","NEW MILLENNIUM BANKSHARES INC","2","0","0","4","0","Shawnee","45820","Topeka, KS","9/3/1998","9/3/1998","2/20/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.alliancebankks.com","66541","2995","3098","94","25700","59299","85","518","2","","","6374"
"12511","11730","21658","1126082","ALLIANCE BANK","Mondovi","WI","54755","12/31/2021","5/18/2022","NM","245 S. Eau Claire St.","GEBSCO INC","5","0","0","2","1","Buffalo","","","1/1/1900","1/1/1934","10/1/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.alliancebank.us","141006","10826","13534","768","41923","38472","81","2108","5","","","5495"
"34566","0","2619714","3253629","ALLIANCE BANK","Cape Girardeau","MO","63701","12/31/2021","5/18/2022","NM","217 N. Kingshighway","ALLIANCE BANCSHARES INC","5","0","0","2","0","Cape Girardeau","16020","Cape Girardeau, MO-IL","10/23/1997","10/23/1997","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.alliancebanking.com","178208","9042","4883","236","42628","73167","121","0","0","","","13781"
"10973","12291","166652","1127146","ALLIANCE BANK","Lake City","MN","55041","12/31/2021","5/18/2022","NM","105 E. Lyon Ave.","ALLIANCE FINL SERVICES INC","6","0","0","4","0","Wabasha","40340","Rochester, MN","1/1/1867","1/1/1934","9/4/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.alliancebanks.com","329026","15675","9027","749","75106","352585","433","0","0","","","47169"
"57733","0","3276543","5216570","ALLIANCE BANK & TRUST COMPANY","Gastonia","NC","28054","12/31/2021","5/18/2022","NM","292 W. Main Ave","PBD HOLDINGS LLC","4","0","0","4","0","Gaston","16740","Charlotte-Concord-Gastonia, NC-SC","9/8/2004","9/8/2004","2/4/2019","Stock","0","0","FDIC","DIF","Atlanta","DALLAS","Charlotte","Richmond","Northeastern","Southeast","0","1","WWW.ALLIANCEBANKNC.COM","80937","3727","2479","92","12377","131024","180","0","0","","","2149"
"15657","0","601658","3615441","ALLIANCE BANK CENTRAL TEXAS","Woodway","TX","76712","12/31/2021","5/18/2022","NM","191 Archway Dr.","ABCT HOLDINGS INC","5","0","0","4","0","Mclennan","47380","Waco, TX","3/16/1939","3/20/1939","10/20/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","https://www.alliancebanktexas.com","139880","7977","4437","103","34390","305473","261","1067","4","","","50756"
"9631","0","924937","1406971","ALLIANCE COMMUNITY BANK","Petersburg","IL","62675","12/31/2021","5/18/2022","NM","321 N 6th St","AC BCORP INC","5","0","0","2","1","Menard","44100","Springfield, IL","5/18/1910","1/1/1934","10/1/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.bankacb.com","232901","15791","12578","510","63309","75097","151","1709","4","","","4771"
"1946","11748","35057","2352253","ALLIANT BANK","Madison","MO","65263","12/31/2021","5/18/2022","NM","101 E. Broadway","NEMO BANCSHARES INC","5","0","0","2","1","Monroe","","","2/20/1888","1/1/1934","1/25/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","http://www.alliantbank.com","112318","9166","1670","104","17130","68050","112","0","0","","","3379"
"55130","0","2140348","3051580","ALLIED FIRST BANK,SB","Oswego","IL","60543","12/31/2021","5/18/2022","SB","3201 Orchard Rd","ALLIED FIRST BCORP INC","1","0","0","8","0","Kendall","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/3/1994","9/1/2001","4/27/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.alliedfirst.com","95284","5500","2359","90","26556","38577","69","775","3","","","7115"
