cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"2453","0","357526","2878294","DAVIS TRUST COMPANY","Elkins","WV","26241","12/31/2021","5/18/2022","NM","227 Davis Ave.","DAVIS TRUST FINANCIAL CORP","2","0","0","4","0","Randolph","","","6/17/1901","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.davistrust.com","115573","9090","7528","297","22223","52328","80","291","1","","","2729"
"29535","3613","324975","","DE WITT SAVINGS BANK","Clinton","IL","61727","12/31/2021","5/18/2022","SB","302 W. Main St.","","2","0","0","8","0","Dewitt","","","1/1/1887","8/1/1936","4/1/2017","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.dewittsavingsbank.com","76049","6227","3816","162","19755","40477","60","0","0","","","8338"
"27269","5366","271275","","DEAN CO-OPERATIVE BANK","Franklin","MA","2038","12/31/2021","5/18/2022","SB","21 Main St","","4","0","0","5","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1889","5/11/1988","5/1/2021","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.deanbank.com","273790","25132","6550","434","34471","119696","197","331","1","","","14354"
"29874","4241","1005075","","DEARBORN FEDERAL SAVINGS BANK","Dearborn","MI","48124","12/31/2021","5/18/2022","SA","22315 W Michigan Ave","","5","0","0","5","0","Wayne","19820","Detroit-Warren-Dearborn, MI","1/1/1936","8/31/1938","7/21/2011","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.mydfsb.com","128375","5085","10285","265","28235","46454","100","5331","10","","","10062"
"6101","14562","66154","2201883","DECATUR COUNTY BANK","Decaturville","TN","38329","12/31/2021","5/18/2022","SM","56 N. Pleasant St.","DECATUR BANCSHARES INC","4","0","0","4","1","Decatur","","","11/16/1899","1/1/1934","12/31/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","St. louis","Southern","Southeast","0","1","www.decaturcountybank.com","98581","5531","7573","209","24086","70160","106","0","0","","","9714"
"15200","11743","872047","1201738","DECORAH BANK & TRUST COMPANY","Decorah","IA","52101","12/31/2021","5/18/2022","NM","202 E. Water St.","SECURITY AGENCY INC","3","0","0","2","1","Winneshiek","","","6/10/1935","6/28/1935","10/26/2007","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.decorah.bank","324843","23312","13079","736","60650","190223","256","965","3","","","7236"
"23620","14280","193809","5164989","DEDHAM INSTITUTION FOR SAVINGS","Dedham","MA","2026","12/31/2021","5/18/2022","SB","55 Elm St","1831 BCORP MHC","14","0","0","4","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","3/19/1831","1/2/1982","5/1/2021","Stock","0","1","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.dedhamsavings.com","845835","47753","48193","2540","223968","719638","992","6927","17","","","73870"
"26588","0","513322","2798440","DEDICATED COMMUNITY BANK","Darlington","SC","29532","12/31/2021","5/18/2022","NM","202 Cashua St.","DARLINGTON CNTY BANCSHARES INC","2","0","0","4","0","Darlington","22500","Florence, SC","3/10/1986","3/10/1986","2/12/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.dcbsc.com","51928","2740","1925","52","11892","29863","53","0","0","","","1618"
"5123","12699","314257","2499082","DEERWOOD BANK","Waite Park","MN","56387","12/31/2021","5/18/2022","NM","131 6th Ave. South, # 100","DEERWOOD BANCSHARES INC","13","0","0","4","0","Stearns","41060","St. Cloud, MN","3/21/1910","1/1/1934","4/28/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","deerwoodbankcom","534963","42045","16428","1005","57851","416153","540","1405","3","","","8903"
"17450","0","902645","1416475","DEFIANCE STATE BANK","Defiance","IA","51527","12/31/2021","5/18/2022","NM","201 Main Ave.","UNION BCORP","2","0","0","2","1","Shelby","","","9/1/1951","6/8/1955","3/5/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","defiancestatebank.com","21883","1266","2384","91","7312","5170","10","570","2","","","948"
