cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"291","12003","1016718","","JACKSON COUNTY BANK","Mc Kee","KY","40447","12/31/2021","5/18/2022","NM","123 Main St N","","3","0","0","2","0","Jackson","","","10/5/1904","1/1/1934","1/28/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.jacksoncobank.com","0.212565624286693","0.17935508490746","0","0","","0.25294500252945","","0.25294500252945","0.491679273827534","0.295026692891262","","0.295026692891262","0.43656207366985","0.144801621778164","","0"
"13109","0","884442","1098590","JACKSON COUNTY BANK","Seymour","IN","47274","12/31/2021","5/18/2022","NM","125 S. Chestnut St.","BANCORP OF SOUTHERN INDIANA","12","0","0","4","0","Jackson","","","1/1/1900","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","http://www.jcbank.com","0.545669899174817","0.541043831594054","0","0.752313919612241","0","0.568227063306979","0.539270328081222","0.574966518717965","0.912767186597343","6.80966973101804E-02","","6.80966973101804E-02","","6.80966973101804E-02","","0"
"30492","5440","291376","3823901","JACKSON FEDERAL SAVINGS AND LOAN ASSOCIATION","Jackson","MN","56143","12/31/2021","5/18/2022","SA","414 2nd St.","JACKSON FINANCIAL MHC","1","0","0","5","0","Jackson","","","1/1/1892","8/29/1955","7/21/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.jacksonfederalsl.com","0","0","0","0","","0","","0","0","0","","0","0","0","",""
"8799","0","122153","1131705","JACKSON PARISH BANK","Jonesboro","LA","71251","12/31/2021","5/18/2022","NM","201 Jimmie Davis Blvd","JACKSON BCORP INC","1","0","0","7","0","Jackson","","","1/1/1904","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","http://jacksonparishbank.com","1.20643431635389","0.469969730763103","0","0.19723865877712","","0.604651162790698","","0.604651162790698","0","2.96147211040828","","2.96147211040828","3.14671025745811","2.52182347235693","","0"
"31266","6637","360777","","JACKSON SAVINGS BANK, SSB","Sylva","NC","28779","12/31/2021","5/18/2022","SB","741 W. Main St.","","2","0","0","8","0","Jackson","","","1/1/1955","12/18/1961","3/31/2006","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","www.jacksonsavingsbank.com","2.09961773264107","2.11494252873563","0","0","0","2.49170559956666","","2.49170559956666","","0","","0","","0","","0"
"10960","11816","88259","1124284","JANESVILLE STATE BANK","Janesville","MN","56048","12/31/2021","5/18/2022","NM","201 N Main St.","JANESVILLE HOLDING CO","1","0","0","2","1","Waseca","","","1/1/1898","1/1/1934","12/21/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","http://www.janesvillestatebank.com","0","0","0","0","","0","0","0","0","0","","0","0","0","",""
"31083","6351","613978","","JARRETTSVILLE FEDERAL SAVINGS AND LOAN ASSOCIATION","Jarrettsville","MD","21084","12/31/2021","5/18/2022","SA","3706 Norrisville Rd.","","1","0","0","8","0","Harford","12580","Baltimore-Columbia-Towson, MD","1/1/1876","12/17/1959","2/23/2012","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.jarrettsvillefederal.com","0.523296769648787","0.55022815951326","0","0.944846035630941","0","0.452136798509757","0","0.465471336275112","0","0","","0","","0","","0"
"16546","0","980531","1833997","JD BANK","Jennings","LA","70546","12/31/2021","5/18/2022","NM","507 Main St.","JD BANCSHARES INC","26","0","0","4","0","Jefferson Davis","","","3/12/1947","3/12/1947","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","https://jdbank.com","0.658948928243676","0.761852766369288","9.60405907402374E-02","0.304864636581997","0","1.56082323065971","0.427432523292671","1.70178959692256","0.274262031976921","0.446387054775412","","0.446387054775412","1.04948618905328","0","","0"
"7123","10785","306908","1048504","JEFF BANK","Jeffersonville","NY","12748","12/31/2021","5/18/2022","NM","4864 State Rt. 52","JEFFERSONVILLE BCORP","12","0","0","8","0","Sullivan","","","10/1/1913","1/1/1934","1/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.jeff.bank","4.07431339767719","4.61266896861403","19.1591729194112","6.45311879221295","0","1.19164072921298","0.324582338902148","1.27186009538951","0","0.043994720633524","","0.043994720633524","0","5.64971751412429E-02","0","0"
"16470","0","45560","1109290","JEFFERSON BANK","San Antonio","TX","78217","12/31/2021","5/18/2022","NM","1777 Ne Loop 410, Ste 100","JEFFERSON BANCSHARES INC","12","0","0","4","1","Bexar","41700","San Antonio-New Braunfels, TX","8/12/1946","8/12/1946","6/17/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.jeffersonbank.com","0.453967010914786","0.492017579170592","0","0.832093112001526","0","0.356145267268045","0.823760926273397","0.331708670343284","0.178440156574954","0.418354764840585","","0.418354764840585","0","0.552839851024209","0","0"
"1071","14160","598954","1094613","JEFFERSON BANK AND TRUST COMPANY","Saint Louis","MO","63103","12/31/2021","5/18/2022","NM","2301 Market St.","DELTA BANCSHARES CO","5","0","0","4","0","Saint Louis City","41180","St. Louis, MO-IL","1/1/1892","1/1/1934","2/1/2016","Stock","0","1","FDIC","DIF","Kansas City","CHICAGO","St. Louis","St. louis","Western","West","0","1","www.jbt-stl.com","0.070226705000707","0","0","0","0","0","0","0","0.390199040924916","9.08677873693776E-03","","9.08677873693776E-03","0","9.27902013547369E-03","","47.6510067114094"
"9997","11694","786733","","JEFFERSON SECURITY BANK","Shepherdstown","WV","25443","12/31/2021","5/18/2022","NM","105 E Washington St.","","6","0","1","8","0","Jefferson","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","5/19/1869","1/1/1934","2/26/2014","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","http://www.jsb.bank","0.358656405555153","0.39211031839182","0","1.36972826755195","0","0.228092871246681","0","0.247738920154116","0","0","0","0","0","0","","0"
"14359","9686","732918","1117688","JERSEY SHORE STATE BANK","Williamsport","PA","17701","12/31/2021","5/18/2022","NM","300 Market St.","PENNS WOODS BCORP INC","20","0","0","4","0","Lycoming","48700","Williamsport, PA","5/12/1934","5/12/1934","3/1/2021","Stock","0","0","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.jssb.com","0.434312346977906","0.482206319688417","0.135685210312076","1.14830208900917","5.29865125240848E-02","0.260660731021556","0.171602546360365","0.345674880665105","1.03767466540888","8.33276647847085E-02","","8.33276647847085E-02","0.087979465411372","1.35961930659415E-02","0","33.9597011546298"
"12384","0","482446","1141692","JERSEY STATE BANK","Jerseyville","IL","62052","12/31/2021","5/18/2022","NM","1000 S. State St.","JSB BCORP INC","2","0","0","2","0","Jersey","41180","St. Louis, MO-IL","1/28/1903","1/1/1934","1/1/2019","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","http://www.jerseystatebank.com","0.424410445973235","0.511298037275276","0","0.947922761849035","0","0.665789269954324","0","0.897891000208812","0","0","","0","0","0","","0"
"18237","8429","820301","","JEWETT CITY SAVINGS BANK","Jewett City","CT","6351","12/31/2021","5/18/2022","SB","111 Main St","","7","0","0","4","0","New London","35980","Norwich-New London, CT","6/23/1873","7/1/1960","5/1/2021","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","http://www.jcsbank.com","1.30824646391738","1.56799225188067","0","4.10447246916133","0","0.562960390164836","0","0.596955374132957","0","0.674698795180723","","0.674698795180723","0","0.728029121164847","","0"
"7599","0","920210","1406935","JIM THORPE NEIGHBORHOOD BANK","Jim Thorpe","PA","18229","12/31/2021","5/18/2022","SM","12 Broadway","JTNB BCORP INC","6","0","0","8","0","Carbon","10900","Allentown-Bethlehem-Easton, PA-NJ","8/25/1902","1/1/1934","9/14/2018","Stock","0","1","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.jtnb.com","9.60322668416588E-03","1.31351386851726E-02","0","0","0","2.62209111766634E-02","0","2.70489586150933E-02","0","0","","0","0","0","","0"
