cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"15308","0","200042","1210785","STATE BANK OF WAPELLO","Wapello","IA","52653","12/31/2021","5/18/2022","NM","306 N. 2nd St.","WAPELLO BANKSHARES INC","1","0","0","2","1","Louisa","","","10/18/1935","11/19/1935","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.statebankofwapello.com","9363","0","0","0","0","0","0","0","0","185","1485","1867","2648","3178","0","1670"
"8827","12495","808354","2466235","STATE BANK OF WHEATON","Wheaton","MN","56296","12/31/2021","5/18/2022","NM","921 Broadway","INDEPENDENT BANCSHARES INC","1","0","0","2","1","Traverse","","","1/1/1899","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.sbwheaton.com","443","0","0","0","0","191","0","0","0","150","0","102","0","0","0","151"
"19689","0","270148","1140725","STATE BANK OF WHITTINGTON","Benton","IL","62812","12/31/2021","5/18/2022","NM","200 N Main St","WHITTINGTON BCORP INC","5","0","0","8","1","Franklin","","","8/5/1919","3/16/1967","8/1/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.statebankofwhittington.com","57200","0","0","0","0","9646","2169","4012","813","495","738","7356","13468","18503","0","738"
"5820","9373","808345","3300215","STATE CENTRAL BANK","Bonaparte","IA","52620","12/31/2021","5/18/2022","NM","612 1st St.","LOGAN INVESTMENT CORP","3","0","0","7","1","Van Buren","","","3/17/1858","1/1/1934","11/20/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.statecentralbank.com","11738","0","0","0","0","0","0","0","0","0","2016","3137","6585","0","0","2016"
"5490","0","581358","1965768","STATE NEBRASKA BANK & TRUST","Wayne","NE","68787","12/31/2021","5/18/2022","NM","122 Main St.","STATE NATIONAL BANCSHARES INC","2","0","0","2","0","Wayne","","","1/1/1892","1/1/1934","12/31/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","Western","0","1","www.statenebank.com","78922","0","25","109","148","1415","7256","5940","5939","837","3386","5398","20924","25957","1588","4006"
"8162","11909","22543","1245666","STATE SAVINGS BANK","Frankfort","MI","49635","12/31/2021","5/18/2022","NM","703 Main St.","CENTRAL-STATE BCORP INC","6","0","0","4","0","Benzie","","","1/1/1901","1/1/1934","10/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","www.ssbankmi.com","12501","0","0","0","0","0","0","0","0","8573","749","1612","726","841","0","9322"
"248","11064","762045","1201729","STATE SAVINGS BANK","West Des Moines","IA","50265","12/31/2021","5/18/2022","NM","4800 George Mills Civic Park","SSB HOLDING CO INC","2","0","0","4","1","Polk","19780","Des Moines-West Des Moines, IA","7/4/1894","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.ssb.bank","494","0","0","0","0","0","0","0","0","250","0","0","179","65","0","0"
"8513","0","286840","1210002","STATE SAVINGS BANK","Rake","IA","50465","12/31/2021","5/18/2022","NM","102 N Main St.","RAKE BCORP","1","0","0","2","0","Winnebago","","","1/15/1914","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.rakestatesavingsbank.com","4304","0","0","0","0","0","0","0","0","0","952","3103","249","0","0","453"
"14773","0","792640","1203022","STATE SAVINGS BANK","Creston","IA","50801","12/31/2021","5/18/2022","NM","602 Sheldon St.","BEDFORD BCORP INC","5","0","0","2","1","Union","","","1/1/1915","9/29/1934","10/1/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","https://www.statesavings.bank","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14857","11082","352745","1095058","STATE STREET BANK AND TRUST COMPANY","Quincy","IL","62301","12/31/2021","5/18/2022","NM","801 State St.","BACKLUND INVESTMENT CO","4","0","0","8","1","Adams","","","1/1/1890","11/8/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","www.statestreetbank.com","65244","0","0","0","115","5106","2693","3101","4687","1522","2659","5091","4694","24858","10718","4181"
"14","14278","35301","1111435","STATE STREET BANK AND TRUST COMPANY","Boston","MA","2111","12/31/2021","5/18/2022","SM","1 Lincoln St","STATE STREET CORP","3","0","1","1","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1792","1/1/1934","6/12/2021","Stock","0","1","FED","DIF","New York","WASHINGTON","South Boston","Boston","Northeastern","Northeast","0","0","www.statestreet.com","115660000","4000","46000","19000","0","3390000","16717000","9650000","23872000","13635000","6507000","17006000","19510000","4898000","406000","10798000"
