cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"26381","10830","594853","2344856","CITIZENS NATIONAL BANK, N.A.","Bossier City","LA","71111","12/31/2021","5/18/2022","N","2711 E. Texas St.","CITIZENS NATL BANCSHARES BOSSIER","13","0","0","4","0","Bossier","43340","Shreveport-Bossier City, LA","10/7/1985","10/7/1985","11/3/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.citizensnb.com","26563","33123","12091","28315","14962","4318","61684","15546","23409","21494","1235"
"10531","14432","732253","1108985","CITIZENS PROGRESSIVE BANK","Winnsboro","LA","71295","12/31/2021","5/18/2022","NM","3540 Front St","CALDWELL HOLDING CO","6","0","0","2","1","Franklin","","","1/1/1918","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","cpbonline.com","13089","29343","6253","21304","13821","1054","49842","11111","24216","14264","251"
"12128","0","544447","","CITIZENS SAVINGS BANK","Spillville","IA","52168","12/31/2021","5/18/2022","NM","101 Church St","","3","0","0","2","0","Winneshiek","","","1/1/1908","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.bankingwithcsb.com","15532","4249","3674","5847","7208","3052","3669","0","1135","2534","0"
"14785","0","474544","1202913","CITIZENS SAVINGS BANK","Marshalltown","IA","50158","12/31/2021","5/18/2022","NM","110 W. Southridge Rd.","GILMAN INVESTMENT CO","3","0","0","2","1","Marshall","","","1/1/1907","10/3/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.citizenssavingsbank.com","2847","1679","2306","1586","577","57","750","250","500","0","0"
"11761","15347","730745","1204355","CITIZENS SAVINGS BANK","Hawkeye","IA","52147","12/31/2021","5/18/2022","NM","133 E. Main St.","FAYETTE BCORP","1","0","0","2","1","Fayette","","","6/27/1927","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://WWW.CSBHAWKEYE.COM","5317","1717","1804","3731","1433","66","612","0","361","251","0"
"10125","12684","758842","1990096","CITIZENS SAVINGS BANK","Anamosa","IA","52205","12/31/2021","5/18/2022","NM","215 E. Main St.","FIRST CMTY BANCSHARES CORP","2","0","0","2","1","Jones","16300","Cedar Rapids, IA","11/8/1906","1/1/1934","6/21/2013","Stock","0","1","FDIC","DIF","Kansas City","CHICAGO","Cedar Rapids","Chicago","Western","Western","0","1","www.citizensbankia.com","10259","2993","1915","6740","3977","620","2952","0","1360","1042","550"
"30270","5086","1014376","","CITIZENS SAVINGS BANK","Bogalusa","LA","70427","12/31/2021","5/18/2022","SB","1725 Sullivan Dr","","5","0","0","8","0","Washington","","","1/1/1945","2/14/1946","11/16/2021","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","https://www.citizenssb.com","45161","31300","8963","21802","26997","18700","15799","540","6548","3521","5190"
"31184","6503","828473","","CITIZENS SAVINGS BANK","Clarks Summit","PA","18411","12/31/2021","5/18/2022","SA","500 S. State St.","","7","0","0","5","0","Lackawanna","42540","Scranton-Wilkes-Barre-Hazleton, PA","1/1/1902","2/20/1961","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","citizens-savings.com","50677","31331","18538","29047","20675","13749","15739","4556","5248","4406","1529"
"10319","0","55635","3602227","CITIZENS SAVINGS BANK AND TRUST COMPANY","Nashville","TN","37208","12/31/2021","5/18/2022","NM","2013 Jefferson St","CSB&T BCORP INC","3","0","0","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","1/4/1904","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.bankcbn.com","4313","37694","5668","28124","7166","1049","12862","1036","8325","3501","0"
"9047","13763","795548","1245741","CITIZENS STATE BANK","Monticello","IA","52310","12/31/2021","5/18/2022","NM","117 W. 1st St.","HERKY HAWK FINANCIAL CORP","7","0","0","2","1","Jones","16300","Cedar Rapids, IA","3/11/1931","1/1/1934","10/9/2009","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.citizensstateonline.com","45878","30581","23878","27418","20007","5155","24346","3717","12847","6859","923"
