cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"2720","9685","509811","1070644","COMMUNITY TRUST BANK, INC.","Pikeville","KY","41501","12/31/2021","5/18/2022","SM","346 N Mayo Trl","COMMUNITY TRUST BCORP INC","79","0","1","4","0","Pike","","","11/17/1903","1/1/1934","1/28/2021","Stock","0","1","FED","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.ctbi.com","-3.44646211186446E-03","7.61021207781996E-03","-9.34338643963181E-02","2.06093125167225E-02","-8.88127073221637E-03","2.23840289058396E-02","1.59699989478589E-02","2.32515412722481E-02","-2.09462991532231E-02","-6.60139710003381E-02","","-6.60139710003381E-02","-0.127856789600351","8.56005061595147E-02","0"
"58500","0","3637706","4909521","COMMUNITY VALLEY BANK","El Centro","CA","92244","12/31/2021","5/18/2022","NM","1443 Main St.","CMUV BCORP","6","0","0","4","0","Imperial","20940","El Centro, CA","10/1/2007","10/1/2007","7/23/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.yourcvb.com","8.48716316571186E-03","0","0","0","0","0","","0","4.06286446284152E-02","0.526870389884089","","0.526870389884089","0","1.08459869848156",""
"27572","0","1412712","2626299","COMMUNITY WEST BANK, NATIONAL ASSOCIATION","Goleta","CA","93117","12/31/2021","5/18/2022","N","5827 Hollister Ave.","COMMUNITY WEST BANCSHARES","9","0","0","4","0","Santa Barbara","42200","Santa Maria-Santa Barbara, CA","8/21/1989","8/21/1989","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","www.communitywestbank.com","-4.42170439402068E-02","-2.52270734568679E-02","0","-2.20787106033008E-02","0","-0.118763044983398","-0.160530821917808","-0.11440689789882","-0.052646317558107","-7.52786350214249E-02","","-7.52786350214249E-02","","-7.52786350214249E-02","0"
"3363","0","774262","3594890","COMMUNITYBANK OF TEXAS, N.A.","Beaumont","TX","77706","12/31/2021","5/18/2022","N","5999 Delaware St.","HILLISTER ENTERPRISES II INC","34","0","0","4","0","Jefferson","13140","Beaumont-Port Arthur, TX","3/6/1926","1/1/1934","7/18/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.communitybankoftx.com","-2.03191924112023E-02","1.98792791017985E-04","0","0","0","1.72827834959787E-03","0","1.78032403677793E-03","-6.42638993315664E-02","-0.30493145530159","","-0.30493145530159","0","-0.322977439682245",""
"29430","3439","373272","","COMPASS SAVINGS BANK","Wilmerding","PA","15148","12/31/2021","5/18/2022","SB","111 Westinghouse Ave","","3","0","0","5","0","Allegheny","38300","Pittsburgh, PA","1/1/1934","5/6/1935","7/1/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.compassbank.us","1.71992707509202E-02","1.75187450572112E-02","0","0","0","1.90248410066859E-02","0","1.97986197533658E-02","0","0","","0","0","0",""
"9727","0","273653","2623551","CONCORDE BANK","Blomkest","MN","56216","12/31/2021","5/18/2022","NM","16 S.W. Main St.","MATSON FINANCIAL INC","2","0","0","8","1","Kandiyohi","","","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","http://www.concordebanks.com","-0.12983926339325","-4.48297310776507E-02","0","-0.257135510413988","0","0","0","0","-0.452111010641998","-0.917431192660551","","-0.917431192660551","-1.1934849761303","0",""
"8527","11229","819556","2557414","CONCORDIA BANK & TRUST COMPANY","Vidalia","LA","71373","12/31/2021","5/18/2022","NM","904 Carter St","CONCORDIA CAPITAL CORP","9","0","1","4","1","Concordia","","","7/1/1903","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","http://www.concordiabank.com","8.44553442367348E-03","4.98181255202162E-03","0","-1.66712891604793E-02","0","5.41475474255162E-02","0","5.46492455281303E-02","-3.06683659213118E-02","0.213567351376539","","0.213567351376539","-0.279173646007817","0.25039646106335",""
"13788","0","164957","1249495","CONCORDIA BANK OF CONCORDIA, MISSOURI","Concordia","MO","64020","12/31/2021","5/18/2022","NM","547 Main St.","NORTHERN MO BANCSHARES INC","4","0","0","4","0","Lafayette","28140","Kansas City, MO-KS","5/1/1932","1/1/1934","8/12/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","http://www.concordia-bank.com","0.282115408076125","0.33065236818588","0","0.816769829846977","","0","0","0","0","0","","0","0","0",""
"57614","0","3187630","3391129","CONGRESSIONAL BANK","Potomac","MD","20854","12/31/2021","5/18/2022","NM","7963 Tuckerman Ln.","CONGRESSIONAL BANCSHARES INC","7","0","1","4","0","Montgomery","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","10/17/2003","10/17/2003","7/1/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","http://WWW.FORBRIGHTBANK.COM","0.178921448418215","-1.9015676971523E-03","0","0","0","-1.15864430437722E-02","-0.249670078824411","8.11757795088718E-03","0.355965575162502","0.787675901661693","","0.787675901661693","","0.787675901661693",""
"28677","2123","203575","4028897","CONNEAUT SAVINGS BANK","Conneaut","OH","44030","12/31/2021","5/18/2022","SA","305 Main St.","CONNEAUT BCORP MHC","2","0","0","5","0","Ashtabula","","","1/1/1888","1/8/1937","1/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.conneautsavings.com","-7.77423618129519E-03","-8.13308988284284E-03","0","0","0","-9.71095346996645E-03","0","-9.89144143030243E-03","0","0","","0","0","0",""
