cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,idsccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,schtmres,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"23474","0","599764","1895007","THE AMERICAN NATIONAL BANK OF TEXAS","Terrell","TX","75160","12/31/2021","5/18/2022","N","102 W. Moore Ave","A N B HOLDING CO LTD","27","0","0","4","0","Kaufman","19100","Dallas-Fort Worth-Arlington, TX","7/1/1981","7/1/1981","9/7/2018","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.anbtx.com","2518284","1391736","52802","1338934","969397","157151","0","0","0","0","157151","0","0","","0","0","","","1947755","1338934","1112206","1112206","0","226728","226728","0","0","0","0","0","2518284","2518284","0","0","0","0","0"
"10663","10317","27614","1071913","THE ANDOVER BANK","Andover","OH","44003","12/31/2021","5/18/2022","SM","19 Public Sq.","ANDOVER BCORP INC","10","0","1","5","0","Ashtabula","","","11/1/1884","1/1/1934","10/1/2015","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.andover.bank","272513","143440","0","143440","129073","0","0","0","0","0","0","0","0","","0","0","","","92462","143440","124378","124378","0","19062","19062","0","0","0","0","0","272513","272513","0","0","0","0",""
"3759","0","855844","1142877","THE ANNA -JONESBORO NATIONAL BANK","Anna","IL","62906","12/31/2021","5/18/2022","N","201 S Main St","UNION COUNTY BANCSHARES INC","4","0","0","7","0","Union","","","1/1/1900","1/1/1934","8/1/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","WWW.AJNATIONAL.COM","153272","78679","0","78679","73637","956","0","0","0","0","956","0","0","","0","0","","","50686","39172","37004","37004","0","2168","2168","0","0","0","0","0","153272","153272","0","0","0","0",""
"14523","13523","91615","1129896","THE ANTWERP EXCHANGE BANK COMPANY","Antwerp","OH","45813","12/31/2021","5/18/2022","NM","305 S. Main St.","DIAMOND BANCSHARES INC","3","0","1","2","0","Paulding","","","1/1/1893","7/2/1934","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.antwerpexchangebank.com","39744","24600","0","24600","15082","0","0","0","0","0","0","0","62","","62","0","","","6076","17234","7971","7971","0","9263","9263","0","0","0","0","0","39682","39682","0","0","0","0",""
"737","12343","213912","1248993","THE APPLE CREEK BANKING COMPANY","Apple Creek","OH","44606","12/31/2021","5/18/2022","SM","3 W. Main St.","APPLE CREEK BANC CORP","6","0","0","4","0","Wayne","","","2/1/1904","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.applecreekbank.com","26603","22224","0","22224","614","3765","0","0","0","0","3765","0","0","","0","0","","","11508","763","763","763","0","0","0","0","0","0","0","0","26603","26603","3765","3765","0","0","0"
"3601","14570","672238","2971270","THE ATLANTA NATIONAL BANK","Atlanta","IL","61723","12/31/2021","5/18/2022","N","105 S.W. Church St.","ANB BCORP INC","2","0","0","7","0","Logan","","","8/2/1887","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.theatlantanationalbank.com/","41906","12760","3049","9711","29146","0","0","0","0","0","0","0","0","","0","0","","","6209","7636","2241","2241","0","301","301","0","5094","2999","2095","3756","38150","41907","1074","1075","0","0",""
"10906","0","997155","","THE BALDWIN STATE BANK","Baldwin City","KS","66006","12/31/2021","5/18/2022","NM","721 High St.","","2","0","0","8","1","Douglas","29940","Lawrence, KS","8/29/1892","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","https://baldwinstatebank.com","23122","18165","9875","8290","4550","408","0","0","408","0","0","0","0","","0","0","","","7806","4808","4038","4038","0","770","770","0","0","0","0","0","23122","23123","0","0","0","0",""
"17759","0","112510","5471931","THE BALTIC STATE BANK","Baltic","OH","43804","12/31/2021","5/18/2022","NM","101 E. Main St.","BANCORP OF BALTIC INC","3","0","0","8","1","Tuscarawas","","","1/1/1902","5/8/1957","5/28/2020","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","balticstatebank.com","7942","6651","0","6651","1291","0","0","0","0","0","0","0","0","","0","0","","","2221","0","0","0","0","0","0","0","0","0","0","0","7942","7942","0","0","0","0",""
"35444","0","2858960","2858951","THE BANCORP BANK","Wilmington","DE","19809","12/31/2021","5/18/2022","NM","409 Silverside Rd.","BANCORP INC THE","1","0","0","4","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","7/28/2000","7/28/2000","12/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","0","https://www.thebancorp.com","953709","454284","0","454284","52137","447288","0","80256","22459","337959","6614","0","0","","0","0","","","0","497238","117084","117084","0","61861","61861","0","318293","67217","251076","0","953709","953709","0","0","0","0","0"
"26522","9433","333650","1137855","THE BANK","Oberlin","KS","67749","12/31/2021","5/18/2022","NM","205 S. Penn","DECATUR INVESTMENT INC","11","0","0","2","1","Decatur","","","11/21/1985","11/21/1985","8/16/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.thebankks.com","106695","13331","0","13331","92889","0","0","0","0","0","0","0","475","","475","0","","","71101","988","988","988","0","0","0","0","0","0","0","267","105953","106220","3000","2972","0","0",""
