cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"16276","13932","659341","1098581","BANK OF HILLSBORO, NATIONAL ASSOCIATION","Hillsboro","IL","62049","12/31/2021","5/18/2022","N","230 S. Main St.","COUNTRY BCORP INC","13","0","0","4","0","Montgomery","","","7/2/1945","7/2/1945","9/18/2018","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","www.BankHillsboro.com","35362","3466","6335","25561","21008","3237","6153","11618","16580","1957","5871","8752","5872","2465","1593","1814","221","96","55","70","186","96","57","33","131","52","47","32","107","80","18","9"
"289","0","763211","3923306","BANK OF HINDMAN","Hindman","KY","41822","12/31/2021","5/18/2022","NM","1362 Hindman Byp","COMMUNITY EXC BANCSHARES INC","3","0","0","7","0","Knott","","","1/1/1903","1/1/1934","1/28/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.bankofhindman.com","13528","828","2666","10034","9858","1777","1754","6327","260","110","0","150","0","0","0","0","60","22","18","20","85","52","15","18","14","13","0","1","0","0","0","0"
"1464","0","941804","2960359","BANK OF HOLLAND","Holland","NY","14080","12/31/2021","5/18/2022","NM","12 S. Main St.","HOLLAND BCORP INC","3","0","0","8","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","10/21/1893","1/1/1934","12/15/2015","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.bankofhollandny.com","14836","1483","5993","7360","5049","1582","1911","1556","1306","879","427","0","0","0","0","0","94","36","38","20","85","59","17","9","64","59","5","0","0","0","0","0"
"8232","16031","835743","2590644","BANK OF HOLLY SPRINGS","Holly Springs","MS","38635","12/31/2021","5/18/2022","NM","114 S Memphis St","HOLLY SPRINGS BANCSHARES INC","9","0","0","4","1","Marshall","32820","Memphis, TN-MS-AR","2/1/1869","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","http://www.bankofhollysprings.com","42722","4553","12148","26021","34249","21277","6659","6313","2802","604","1767","431","2205","1606","599","0","334","168","98","68","1155","1073","58","24","31","14","14","3","52","45","7","0"
"9661","0","871358","1062788","BANK OF HOLYROOD","Holyrood","KS","67450","12/31/2021","5/18/2022","SM","100 S Main St","HOLYROOD BANCSHARES INC","1","0","0","2","1","Ellsworth","","","1/1/1887","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","2739","2739","0","0","12683","12683","0","0","4992","522","928","3542","6560","2545","2010","2005","58","58","0","0","180","180","0","0","42","22","8","12","114","86","19","9"
"26610","0","671464","2961879","BANK OF HOPE","Los Angeles","CA","90010","12/31/2021","5/18/2022","NM","3200 Wilshire Blvd. Suite 1","HOPE BCORP INC","57","0","1","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/18/1986","3/18/1986","3/4/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","0","http://www.bankofhope.com","784749","284","20831","763634","520016","66310","141221","312485","0","0","0","0","0","0","0","0","2045","6","205","1834","8145","5840","1221","1084","0","0","0","0","0","0","0","0"
"3178","0","583754","5193420","BANK OF HOUSTON, NATIONAL ASSOCIATION","Houston","TX","77027","12/31/2021","5/18/2022","N","4400 Post Oak Pkwy. Suite 2","BOH HOLDINGS INC","2","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","1/31/1892","1/1/1934","4/30/2018","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","https://www.bohbank.com","25660","87","1114","24459","16947","1920","4065","10962","740","0","204","536","65","65","0","0","54","2","9","43","134","61","35","38","5","0","3","2","3","3","0","0"
"10674","11619","291059","1057168","BANK OF HYDRO","Hydro","OK","73048","12/31/2021","5/18/2022","NM","146 W. Main St.","HYDRO BANCSHARES INC","3","0","0","4","1","Caddo","","","10/1/1903","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.bankofhydro.com","17720","904","7431","9385","7125","3394","1905","1826","6788","1054","3485","2249","6724","2578","1281","2865","88","24","35","29","160","137","16","7","67","25","30","12","110","84","14","12"
"8584","0","790150","1118760","BANK OF IBERIA","Iberia","MO","65486","12/31/2021","5/18/2022","SM","841 E. Hwy 42","MILCO BCORP INC","2","0","0","8","0","Miller","","","10/1/1899","1/1/1934","11/23/2018","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.bankofiberia.com","6095","1119","1962","3014","1756","1389","367","0","2939","632","1831","476","2470","1849","621","0","57","32","17","8","91","85","6","0","36","22","12","2","120","114","6","0"
"26403","9739","300960","2561671","BANK OF IDAHO","Idaho Falls","ID","83402","12/31/2021","5/18/2022","NM","399 N. Capital Ave.","BANK OF IDAHO HOLDING CO","14","0","0","4","0","Bonneville","26820","Idaho Falls, ID","9/25/1985","9/25/1985","7/29/2015","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","Western","0","1","www.bankofidaho.com","77907","1454","14247","62206","41749","8542","11040","22167","4850","219","1585","3046","4172","686","1403","2083","257","28","94","135","595","396","112","87","33","6","14","13","67","35","19","13"
