cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"20100","0","989730","1139514","TOWER COMMUNITY BANK","Jasper","TN","37347","12/31/2021","5/18/2022","NM","4564 Main St","GENERAL BANCSHARES INC","10","0","0","4","0","Marion","16860","Chattanooga, TN-GA","1/2/1970","1/2/1970","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.towercommunitybank.com","194754","1558","568","3240","3038","3178","28541","19888","20196","16268","17684","31656","48707"
"13071","12740","487357","1095722","TOWN & COUNTRY BANK","Salem","MO","65560","12/31/2021","5/18/2022","SM","1009 E. Hwy. 32/72","TOWN&COUNTRY BANCSHARES INC","10","0","0","8","1","Dent","","","1/1/1894","1/1/1934","8/30/2017","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","www.tcbanks.com","403927","7369","20367","30194","51583","27698","39856","23448","43861","24888","59203","27999","46153"
"57312","0","3067929","5558681","TOWN & COUNTRY BANK","Las Vegas","NV","89147","12/31/2021","5/18/2022","SM","8620 W. Tropicana Ave.","R DEAN PHILLIPS BK TR DATED 11-19-2004","5","0","0","4","1","Clark","29820","Las Vegas-Henderson-Paradise, NV","4/15/2002","4/15/2002","12/20/2021","Stock","0","0","FED","DIF","San Francisco","KANSAS CITY","Phoenix","San Francisco","Western","Western","0","0","www.tcbanknv.bank","122167","0","789","130","296","470","3486","2661","12373","19322","16578","59410","6651"
"1434","15876","738255","1054859","TOWN & COUNTRY BANK","Ravenna","NE","68869","12/31/2021","5/18/2022","SM","423 Grand Ave.","PLATTE VALLEY CATTLE CO","4","0","0","2","0","Buffalo","","","1/1/1932","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","www.tcbank.bank","121809","0","461","699","1304","130","86","59732","10934","16491","27597","3641","733"
"15703","11172","692946","1100112","TOWN & COUNTRY BANK AND TRUST COMPANY","Bardstown","KY","40004","12/31/2021","5/18/2022","NM","201 N. 3rd St.","FIRST FARMERS BANK HOLDING CO","5","0","0","4","0","Nelson","","","9/9/1907","11/25/1939","11/19/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","http://www.mytcbt.bank","226475","1232","4409","5671","6846","41154","5982","15562","15247","48134","49679","25649","6648"
"10460","0","349343","5558681","TOWN & COUNTRY BANK MIDWEST","Quincy","IL","62301","12/31/2021","5/18/2022","NM","524 N. 30th St.","R DEAN PHILLIPS BK TR DATED 11-19-2004","5","0","1","4","1","Adams","","","1/1/1910","1/1/1934","7/3/2015","Stock","0","1","FDIC","DIF","Chicago","KANSAS CITY","Springfield Il","St. louis","Central","Central","0","0","www.tcbankmidwest.com","122003","2277","7063","10067","3411","285","226","17233","25136","29175","21853","4913","39"
"18487","9151","590248","1208531","TOWN AND COUNTRY BANK","Springfield","IL","62704","12/31/2021","5/18/2022","SM","1925 S. Macarthur Blvd.","TOWN&COUNTRY FINANCIAL CORP","12","0","0","4","0","Sangamon","44100","Springfield, IL","3/1/1962","3/1/1962","6/17/2016","Stock","0","1","FED","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.townandcountrybank.com","633844","3392","4164","10722","13724","49792","42267","34055","50799","121964","118714","174854","7343"
"34717","0","2693264","2260406","TOWN BANK, NATIONAL ASSOCIATION","Hartland","WI","53029","12/31/2021","5/18/2022","N","850 W. N. Shore Dr.","WINTRUST FINANCIAL CORP","23","0","0","4","0","Waukesha","33340","Milwaukee-Waukesha-West Allis, WI","7/23/1998","7/23/1998","4/23/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","0","www.townbank.us","2124132","4362","5965","18120","21449","28315","44328","592001","963425","169955","175039","95898","2223"
"58214","0","3459216","","TOWN CENTER BANK","Frankfort","IL","60423","12/31/2021","5/18/2022","NM","20181 S Lagrange Rd.","","2","0","0","4","0","Will","16980","Chicago-Naperville-Elgin, IL-IN-WI","9/18/2006","9/18/2006","7/21/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.towncenterbank.net","106533","236","0","319","0","94","0","11866","24723","25393","33606","9899","396"
"22621","0","180537","1083895","TOWN-COUNTRY NATIONAL BANK","Camden","AL","36726","12/31/2021","5/18/2022","N","118 Broad St","UNITED BCORP OF ALABAMA INC","1","0","0","8","0","Wilcox","","","3/8/1978","3/8/1978","7/26/2021","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","WWW.TCNBANK.COM","64929","2810","8494","190","1684","22","2679","9004","22727","8398","7864","450","337"
"35095","0","2797724","","TOWNE BANK","Portsmouth","VA","23703","12/31/2021","5/18/2022","NM","5716 High St.","","44","0","1","4","0","Portsmouth City","47260","Virginia Beach-Norfolk-Newport News, VA-NC","4/8/1999","4/8/1999","1/26/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","0","https://www.townebank.com","9864566","395302","65626","136051","232283","568934","247340","1842078","671931","1332310","1788274","2380595","197869"
"57542","0","3287660","","TOYOTA FINANCIAL SAVINGS BANK","Henderson","NV","89074","12/31/2021","5/18/2022","NM","2485 Village View Drive, # 2","","1","0","0","5","0","Clark","29820","Las Vegas-Henderson-Paradise, NV","8/16/2004","8/16/2004","5/26/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","0","www.toyotafinancialsavingsbank.com","1816298","2","8334","16593","46758","436315","744167","57571","113126","66631","87161","221769","16855"
"4556","11792","1007051","1099065","TPNB BANK","Paris","MO","65275","12/31/2021","5/18/2022","SM","118 N. Main St.","PARIS BANCSHARES INC","2","0","0","2","0","Monroe","","","10/1/1865","1/1/1934","1/13/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.tpnbbank.com","43706","231","252","868","2103","2865","189","3867","6158","2469","6069","15121","3514"
"58057","0","3344321","3344312","TRADITION CAPITAL BANK","Wayzata","MN","55391","12/31/2021","5/18/2022","NM","100 W. Lake St.","TRADITION BANCSHARES INC","3","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","7/1/2005","7/1/2005","4/15/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.TRADITION.BANK","1137722","2408","10437","7051","24904","22993","109500","90344","211204","192358","203426","239549","23514"
