cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"30431","5325","277277","5161335","SSB BANK","Pittsburgh","PA","15237","12/31/2021","5/18/2022","SB","8700 Perry Hwy.","SSB BCORP MHC","2","0","0","4","0","Allegheny","38300","Pittsburgh, PA","1/1/1922","7/17/1951","1/24/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.ssbpgh.com","28","234936","16641","14378","4116","2241","196342","1911","0","4156","0","741","10699","234936","214993","186738","168184","186738","70.9503952001532","0","0","27873","0","382","19943","19943","0","4273","0","15670","0","5584","0","1171","217077","90238","239177.2","237576.5","180603","227344","3417","3417","0","0","3971","2095","19250","0","30863","19922","1911","30863","0"
"29858","4215","995674","2623234","SSB COMMUNITY BANK","Strasburg","OH","44680","12/31/2021","5/18/2022","NM","152 N Wooster Ave.","STRASBURG BCORP INC","3","0","0","4","1","Tuscarawas","","","1/1/1924","12/29/1937","4/1/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.ssbonline.com","31","164654","19459","18813","0","0","137835","1185","0","5366","0","0","1994","164654","152548","151873","140123","151873","74.6814772869437","0","0","0","0","675","12106","12106","0","37","3350","8719","0","727","0","315","156648","88702","147857.8","160471","126706","159295","0","0","0","0","7119","1255","0","0","15437","12106","1185","15437","0"
"29804","4114","420578","5587775","ST LANDRY HOMESTEAD FEDERAL SAVINGS BANK","Opelousas","LA","70570","12/31/2021","5/18/2022","SA","235 N Court St","CATALYST BCORP INC","5","0","0","5","0","Saint Landry","","","1/1/1922","4/5/1935","10/12/2021","Stock","0","0","OCC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.stlandryhomestead.com","62","273811","40884","35951","90319","0","129566","2276","0","6577","340","0","6125","273811","196616","186388","146496","186388","77.7510152188957","0","0","9018","0","1210","77195","77195","0","0","25443","51752","0","891","0","561","255836","106611","257028.2","292687","122532","284202","3303","3303","0","0","14469","2529","9018","0","9803","77819","1541","9803","0"
"17259","15573","115146","1208728","ST. ANSGAR STATE BANK","Saint Ansgar","IA","50472","12/31/2021","5/18/2022","SM","237 W. 4th St.","ST ANSGAR BCORP","2","0","0","2","1","Mitchell","","","3/28/1891","9/1/1953","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.STANSGARBANK.COM","19","155972","21735","16056","41031","76","90465","1000","0","774","0","0","1891","155972","140645","131242","104365","131242","75.3121120023156","0","0","9297","0","106","15327","15327","0","860","3140","11327","0","0","0","802","147628","55594","148111.2","150729.5","0","157271","0","0","0","0","946","7072","9297","0","14406","15327","0","14406","0"
"27052","12658","428547","2260406","ST. CHARLES BANK & TRUST COMPANY, NATIONAL ASSOCIATION","Saint Charles","IL","60174","12/31/2021","5/18/2022","N","411 W. Main St.","WINTRUST FINANCIAL CORP","7","0","0","4","0","Kane","16980","Chicago-Naperville-Elgin, IL-IN-WI","9/21/1987","9/21/1987","1/1/2020","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.bankstcharles.com","81","1937584","255909","247614","142046","4","1419780","13317","2716","31298","999","44237","40595","1937584","1722366","1654524","1167186","1654524","65.1238281847296","0","2712","54077","0","11053","215218","215218","0","121","160839","54258","0","4781","0","5251","1809444","206250","1875078.2","1923571.5","1615626","1912759","8839","8839","0","0","74847","7566","50000","0","358085","174516","9210","358085","357969"
"11002","9327","692450","5013694","ST. CLAIR COUNTY STATE BANK","Osceola","MO","64776","12/31/2021","5/18/2022","NM","710 Chestnut","MARGARET PARKER PLATTER CHARITABLE TR","4","0","0","2","0","Saint Clair","","","5/1/1896","1/1/1934","5/28/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","0","1","https://www.sccsbank.com","27","174984","26987","24055","20334","6776","114637","1582","0","3789","0","0","2461","174984","151993","151507","122976","151507","81.639694676633","0","0","0","0","486","22991","22991","0","173","387","22431","0","616","4","1762","165802","14900","170410.6","173028.5","0","172240","0","0","0","0","3421","942","0","0","11644","23002","0","11644","0"
"1903","0","854753","1128723","ST. CLAIR STATE BANK (INCORPORATED)","Saint Clair","MN","56080","12/31/2021","5/18/2022","NM","100 Main St. W.","SAINT CLAIR AGENCY INC","1","0","0","2","1","Blue Earth","31860","Mankato-North Mankato, MN","7/17/1907","1/1/1934","7/7/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","http://www.stclairstatebank.com","10","107169","20173","17840","4716","1700","79581","1644","0","271","0","0","728","107169","96433","95978","81013","95978","89.5738093259081","0","0","0","0","455","10736","10736","0","50","7450","3236","0","47","0","626","103837","18333","106734.4","107566","0","109437","0","0","0","0","3795","63","0","0","21028","10736","0","21028","0"
"8898","13466","173557","2630746","ST. JOHNS BANK AND TRUST COMPANY","Saint Louis","MO","63114","12/31/2021","5/18/2022","NM","8924 St. Charles Rock Rd.","UNITY BANCSHARES L L C","4","0","0","4","0","Saint Louis","41180","St. Louis, MO-IL","1/1/1926","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","https://www.stjohnsbank.com","73","359852","64987","62310","80634","2","203442","3629","0","5868","2538","0","2381","359852","330610","330161","232794","330161","83.4363557620379","0","0","0","0","449","29242","29242","0","750","5745","22747","0","0","0","645","346388","27706","346361.6","356809","0","362196","0","0","0","0","1653","4756","0","0","46370","30318","0","46370","0"
"8534","0","885430","1417203","ST. LANDRY BANK AND TRUST COMPANY","Opelousas","LA","70570","12/31/2021","5/18/2022","NM","132 E Landry St","ST LANDRY BANCSHARES INC","7","0","0","7","1","Saint Landry","","","1/1/1931","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://www.stlandrybank.com","51","332881","32991","28378","244666","500","50499","4557","0","1865","135","0","2225","332881","307504","307285","198802","307285","72.5970877735297","0","0","0","0","219","25377","25377","0","450","11300","13627","0","538","0","841","324043","146669","347347","339302","98356","340284","619","619","0","0","11694","17","0","0","10920","27740","1271","10920","0"
"58018","0","3354599","3449075","ST. LOUIS BANK","Saint Louis","MO","63124","12/31/2021","5/18/2022","NM","9811 S. Forty Dr.","ST LOUIS BANCSHARES INC","3","0","1","4","0","Saint Louis","41180","St. Louis, MO-IL","6/6/2005","6/6/2005","7/27/2020","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.stlouisbank.com","82","609213","31548","28327","52639","14077","481854","6878","0","6458","0","0","22637","609213","555262","553635","389985","553635","68.9301470521843","0","0","0","0","1627","53951","53951","0","15150","41051","-2250","0","234","0","2107","576897","68739","649904.8","626606.5","506223","607791","12787","12787","0","0","14758","24189","0","0","77336","52955","6335","77336","49100"
