CUSIP,SEQ,DESCRIP,F,FIRSTRST,USAGE
3130AR6R7,1,Overnight SOFR,D,2022-03-01,Coupon Reset
3130ARBG5,1,Overnight SOFR,D,2022-03-11,Coupon Reset
3130ARK83,1,Overnight SOFR,D,2022-03-28,Coupon Reset
3130ARKN0,1,Overnight SOFR,D,2022-03-28,Coupon Reset
3130ARMN8,1,Overnight SOFR,D,2022-04-01,Coupon Reset
3130ARNA5,1,Overnight SOFR,D,2022-04-04,Coupon Reset
3130ARTS0,1,Overnight SOFR,D,2022-04-20,Coupon Reset
3130ARU41,1,Overnight SOFR,D,2022-04-20,Coupon Reset
3130ARWP2,1,Overnight SOFR,D,2022-04-26,Coupon Reset
3130AS4U0,1,Overnight SOFR,D,2022-05-13,Coupon Reset
3130ASGM5,1,Overnight SOFR,D,2022-06-14,Coupon Reset
3130ASHD4,1,Overnight SOFR,D,2022-06-16,Coupon Reset
3130ASHF9,1,Overnight SOFR,D,2022-06-17,Coupon Reset
3130ASHJ1,1,Overnight SOFR,D,2022-06-16,Coupon Reset
3130ASHP7,1,Overnight SOFR,D,2022-06-17,Coupon Reset
3130ASHQ5,1,Overnight SOFR,D,2022-06-17,Coupon Reset
3130ASLM9,1,Overnight SOFR,D,2022-06-29,Coupon Reset
3130ASLW7,1,Overnight SOFR,D,2022-06-30,Coupon Reset
3130ASM71,1,Overnight SOFR,D,2022-07-06,Coupon Reset
3130ASM89,1,Overnight SOFR,D,2022-07-06,Coupon Reset
3130ASMD8,1,Overnight SOFR,D,2022-07-06,Coupon Reset
3130ASMF3,1,Overnight SOFR,D,2022-07-07,Coupon Reset
3130ASMX4,1,Overnight SOFR,D,2022-07-11,Coupon Reset
3130ASMY2,1,Overnight SOFR,D,2022-07-08,Coupon Reset
3130ASMZ9,1,Overnight SOFR,D,2022-07-11,Coupon Reset
3130ASN21,1,Overnight SOFR,D,2022-07-07,Coupon Reset
3130ASNM7,1,Overnight SOFR,D,2022-07-08,Coupon Reset
3130ASP45,1,Overnight SOFR,D,2022-07-11,Coupon Reset
3130ASPW3,1,Overnight SOFR,D,2022-07-13,Coupon Reset
3130ASQ36,1,Overnight SOFR,D,2022-07-14,Coupon Reset
3130ASQ77,1,Overnight SOFR,D,2022-07-14,Coupon Reset
3130ASQ85,1,Overnight SOFR,D,2022-07-14,Coupon Reset
3130ASQZ5,1,Overnight SOFR,D,2022-07-14,Coupon Reset
3130ASR68,1,Overnight SOFR,D,2022-07-18,Coupon Reset
3130ASR84,1,Overnight SOFR,D,2022-07-18,Coupon Reset
3130ASRA9,1,Overnight SOFR,D,2022-07-19,Coupon Reset
3130ASRN1,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASRP6,1,Overnight SOFR,D,2022-07-22,Coupon Reset
3130ASS26,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASS34,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASS42,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASS59,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASSB6,1,Overnight SOFR,D,2022-07-21,Coupon Reset
3130ASSC4,1,Overnight SOFR,D,2022-07-21,Coupon Reset
3130ASSE0,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASSG5,1,Overnight SOFR,D,2022-07-20,Coupon Reset
3130ASSH3,1,Overnight SOFR,D,2022-07-21,Coupon Reset
3130ASSK6,1,Overnight SOFR,D,2022-07-25,Coupon Reset
3130ASSP5,1,Overnight SOFR,D,2022-07-22,Coupon Reset
3130ASSS9,1,Overnight SOFR,D,2022-07-22,Coupon Reset
3130ASST7,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130ASSV2,1,Overnight SOFR,D,2022-07-25,Coupon Reset
3130ASSW0,1,Overnight SOFR,D,2022-07-22,Coupon Reset
3130ASSY6,1,Overnight SOFR,D,2022-07-25,Coupon Reset
3130ASSZ3,1,Overnight SOFR,D,2022-07-25,Coupon Reset
3130AST58,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130AST66,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130AST74,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130AST82,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130AST90,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130ASTB5,1,Overnight SOFR,D,2022-07-26,Coupon Reset
3130ASTD1,1,Overnight SOFR,D,2022-07-27,Coupon Reset
3130ASTJ8,1,Overnight SOFR,D,2022-07-27,Coupon Reset
3130ASTP4,1,Overnight SOFR,D,2022-07-28,Coupon Reset
3130ASTT6,1,Overnight SOFR,D,2022-08-01,Coupon Reset
3130ASTU3,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASU23,1,Overnight SOFR,D,2022-07-28,Coupon Reset
3130ASU31,1,Overnight SOFR,D,2022-07-28,Coupon Reset
3130ASU49,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASUG2,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASUH0,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASUL1,1,Overnight SOFR,D,2022-07-29,Coupon Reset
3130ASUR8,1,Overnight SOFR,D,2022-08-01,Coupon Reset
3130ASUS6,1,Overnight SOFR,D,2022-08-01,Coupon Reset
3130ASUX5,1,Overnight SOFR,D,2022-08-02,Coupon Reset
3130ASUY3,1,Overnight SOFR,D,2022-08-03,Coupon Reset
3130ASVF3,1,Overnight SOFR,D,2022-08-03,Coupon Reset
3130ASVJ5,1,Overnight SOFR,D,2022-08-04,Coupon Reset
3130ASVL0,1,Overnight SOFR,D,2022-08-03,Coupon Reset
3130ASVT3,1,Overnight SOFR,D,2022-08-05,Coupon Reset
3130ASVU0,1,Overnight SOFR,D,2022-08-05,Coupon Reset
3130ASVV8,1,Overnight SOFR,D,2022-08-05,Coupon Reset
3130ASW21,1,Overnight SOFR,D,2022-08-08,Coupon Reset
3130ASW39,1,Overnight SOFR,D,2022-08-09,Coupon Reset
3130ASX61,1,Overnight SOFR,D,2022-08-10,Coupon Reset
3130ASX95,1,Overnight SOFR,D,2022-08-11,Coupon Reset
3130ASZQ5,1,Overnight SOFR,D,2022-08-18,Coupon Reset
3130AT2S5,1,Overnight SOFR,D,2022-08-19,Coupon Reset
3130AT2W6,1,Overnight SOFR,D,2022-08-22,Coupon Reset
3130AT3G0,1,Overnight SOFR,D,2022-08-23,Coupon Reset
3130AT3Z8,1,Overnight SOFR,D,2022-08-23,Coupon Reset
3130AT4A2,1,Overnight SOFR,D,2022-08-24,Coupon Reset
3130AT4B0,1,Overnight SOFR,D,2022-08-24,Coupon Reset
3130AT4X2,1,Overnight SOFR,D,2022-08-24,Coupon Reset
3130AT5P8,1,Overnight SOFR,D,2022-08-25,Coupon Reset
3130AT5Q6,1,Overnight SOFR,D,2022-08-25,Coupon Reset
3130AT5V5,1,Overnight SOFR,D,2022-08-25,Coupon Reset
