 CUSIP              DEALER                                   
 3130A3DU5          Academy Sec                              
 3130A3E59          Morgan Stanley                           
 3130A3GE8          Barclays                                 
 3130A3GE8          HSBC                                     
 3130A3GE8          StoneX Financial                         
 3130A3GE8          Daiwa Securities                         
 3130A3GE8          FHN                                      
 3130A3GE8          WFS                                      
 3130A3GE8          Mizuho Securities                        
 3130A3GE8          Goldman, Sachs & Co                      
 3130A3GE8          J. P. Morgan NY                          
 3130A3GE8          Morgan Stanley                           
 3130A3GE8          BofA                                     
 3130A3GE8          Nomura Securities                        
 3130A3GE8          Citigroup                                
 3130A3GE8          Vining-Sparks IBG                        
 3130A3GE8          BNP Paribas                              
 3130A3GE8          Deutsche NY                              
 3130A3GE8          Raymond James                            
 3130A3GE8          BNY Mel                                  
 3130A3GE8          NatWest Mkts                             
 3130A3GE8          BB & T                                   
 3130A3GE8          Jefferies                                
 3130A3GE8          InspereX                                 
 3130A3GE8          RBC                                      
 3130A3GE8          Stifel                                   
 3130A3GE8          BMO CM                                   
 3130A3GE8          CRT                                      
 3130A3GE8          TD Securities                            
 3130A3GE8          Multi Bank                               
 3130A3GE8          Samuel Ramirez                           
 3130A3HC1          FHN                                      
 3130A3KM5          Barclays                                 
 3130A3KM5          HSBC                                     
 3130A3KM5          StoneX Financial                         
 3130A3KM5          Daiwa Securities                         
 3130A3KM5          FHN                                      
 3130A3KM5          WFS                                      
 3130A3KM5          Mizuho Securities                        
 3130A3KM5          Goldman, Sachs & Co                      
 3130A3KM5          Morgan Stanley                           
 3130A3KM5          BofA                                     
 3130A3KM5          Nomura Securities                        
 3130A3KM5          Citigroup                                
 3130A3KM5          Raymond James                            
 3130A3KM5          Jefferies                                
 3130A3KM5          InspereX                                 
 3130A3KM5          BMO CM                                   
 3130A3KM5          TD Securities                            
 3130A3KM5          Multi Bank                               
 3130A3VC5          Barclays                                 
 3130A3VC5          StoneX Financial                         
 3130A3VC5          Daiwa Securities                         
 3130A3VC5          FHN                                      
 3130A3VC5          WFS                                      
 3130A3VC5          Morgan Stanley                           
 3130A3VC5          BofA                                     
 3130A3VC5          Nomura Securities                        
 3130A3VC5          Citigroup                                
