 CUSIP              SEQ DESCRIP                                                      F  FIRSTRST         USAGE                          
 3130AR3W9            1 Overnight SOFR                                               D  20220218         Coupon Reset                   
 3130AR4R9            1 Overnight SOFR                                               D  20220224         Coupon Reset                   
 3130AR4W8            1 Overnight SOFR                                               D  20220225         Coupon Reset                   
 3130AR5M9            1 Overnight SOFR                                               D  20220224         Coupon Reset                   
 3130AR5N7            1 Overnight SOFR                                               D  20220228         Coupon Reset                   
 3130AR6N6            1 Overnight SOFR                                               D  20220228         Coupon Reset                   
 3130AR6R7            1 Overnight SOFR                                               D  20220301         Coupon Reset                   
 3130ARBG5            1 Overnight SOFR                                               D  20220311         Coupon Reset                   
 3130ARK83            1 Overnight SOFR                                               D  20220328         Coupon Reset                   
 3130ARKN0            1 Overnight SOFR                                               D  20220328         Coupon Reset                   
 3130ARMN8            1 Overnight SOFR                                               D  20220401         Coupon Reset                   
 3130ARNA5            1 Overnight SOFR                                               D  20220404         Coupon Reset                   
 3130ARTS0            1 Overnight SOFR                                               D  20220420         Coupon Reset                   
 3130ARU41            1 Overnight SOFR                                               D  20220420         Coupon Reset                   
 3130ARWP2            1 Overnight SOFR                                               D  20220426         Coupon Reset                   
 3130AS4U0            1 Overnight SOFR                                               D  20220513         Coupon Reset                   
 3130ASGM5            1 Overnight SOFR                                               D  20220614         Coupon Reset                   
 3130ASHD4            1 Overnight SOFR                                               D  20220616         Coupon Reset                   
 3130ASHF9            1 Overnight SOFR                                               D  20220617         Coupon Reset                   
 3130ASHJ1            1 Overnight SOFR                                               D  20220616         Coupon Reset                   
 3130ASHP7            1 Overnight SOFR                                               D  20220617         Coupon Reset                   
 3130ASHQ5            1 Overnight SOFR                                               D  20220617         Coupon Reset                   
 3130ASLM9            1 Overnight SOFR                                               D  20220629         Coupon Reset                   
 3130ASLW7            1 Overnight SOFR                                               D  20220630         Coupon Reset                   
 3130ASM71            1 Overnight SOFR                                               D  20220706         Coupon Reset                   
 3130ASM89            1 Overnight SOFR                                               D  20220706         Coupon Reset                   
 3130ASMD8            1 Overnight SOFR                                               D  20220706         Coupon Reset                   
 3130ASMF3            1 Overnight SOFR                                               D  20220707         Coupon Reset                   
 3130ASMX4            1 Overnight SOFR                                               D  20220711         Coupon Reset                   
 3130ASMY2            1 Overnight SOFR                                               D  20220708         Coupon Reset                   
 3130ASMZ9            1 Overnight SOFR                                               D  20220711         Coupon Reset                   
 3130ASN21            1 Overnight SOFR                                               D  20220707         Coupon Reset                   
 3130ASNM7            1 Overnight SOFR                                               D  20220708         Coupon Reset                   
 3130ASP45            1 Overnight SOFR                                               D  20220711         Coupon Reset                   
 3130ASPW3            1 Overnight SOFR                                               D  20220713         Coupon Reset                   
 3130ASQ36            1 Overnight SOFR                                               D  20220714         Coupon Reset                   
 3130ASQ77            1 Overnight SOFR                                               D  20220714         Coupon Reset                   
 3130ASQ85            1 Overnight SOFR                                               D  20220714         Coupon Reset                   
 3130ASQZ5            1 Overnight SOFR                                               D  20220714         Coupon Reset                   
 3130ASR68            1 Overnight SOFR                                               D  20220718         Coupon Reset                   
 3130ASR84            1 Overnight SOFR                                               D  20220718         Coupon Reset                   
 3130ASRA9            1 Overnight SOFR                                               D  20220719         Coupon Reset                   
 3130ASRN1            1 Overnight SOFR                                               D  20220720         Coupon Reset                   
 3130ASRP6            1 Overnight SOFR                                               D  20220722         Coupon Reset                   
 3130ASS26            1 Overnight SOFR                                               D  20220720         Coupon Reset                   
 3130ASS34            1 Overnight SOFR                                               D  20220720         Coupon Reset                   
