CUSIP,SERIES,TRADED,ISSUED,MATURITY,TYPE,FIRSTCPN,F,PCR,CCR,R,S,CALL,ORIGINAL,REOPENED,OUTSTANDING,PRICE,COUPON,MINDENOM,MULTIPLES,DAYCNT,PAGENT,V,FORMULA
3130ABMY9,9L-2023,2017-06-20,2017-06-21,2023-07-28,Domestic Bond,2017-07-28,S,USD,USD,F,C,Non,38680000.0,0.0,38680000.0,100.0,1.98,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.98
3130ABN44,Y7-2022,2017-06-20,2017-06-28,2022-09-01,Domestic Bond,2017-09-01,S,USD,USD,F,C,Non,25000000.0,0.0,25000000.0,100.0,1.85,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.85
3130ABNK8,9M-2023,2017-06-21,2017-07-13,2023-02-01,Domestic Bond,2017-08-01,S,USD,USD,F,C,Non,9245000.0,0.0,9245000.0,100.0,1.89,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.89
3130ABNR3,ZS-2024,2017-06-22,2017-06-23,2024-11-01,Domestic Bond,2017-11-01,S,USD,USD,F,C,Non,42565000.0,0.0,42565000.0,100.0,2.175,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.175
3130ABPR1,9N-2023,2017-06-28,2017-06-29,2023-06-01,Domestic Bond,2017-12-01,S,USD,USD,F,C,Non,12305000.0,0.0,12305000.0,100.0,1.985,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.985
3130ABQG4,BW-2032,2017-06-29,2017-07-12,2032-07-12,Domestic Bond,2018-01-12,S,USD,USD,F,C,Non,10000000.0,0.0,10000000.0,100.0,3.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.0
3130ABH90,9H-2023,2017-05-19,2017-05-25,2023-01-13,Domestic Bond,2017-07-13,S,USD,USD,F,C,Non,6190000.0,0.0,6190000.0,100.0,1.937,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.937
3130ABHA7,9I-2023,2017-05-19,2017-05-25,2023-08-15,Domestic Bond,2017-08-15,S,USD,USD,F,C,Non,5915000.0,0.0,5915000.0,100.0,2.083,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.083
3130ABJ49,ZK-2024,2017-05-25,2017-05-26,2024-03-01,Domestic Bond,2017-09-01,S,USD,USD,F,C,Non,26120000.0,0.0,26120000.0,100.0,2.14,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.14
3130ABJ72,9J-2023,2017-05-25,2017-05-30,2023-06-30,Domestic Bond,2017-06-30,S,USD,USD,F,C,Non,8750000.0,0.0,8750000.0,100.0,2.04,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.04
3130ABYH3,9R-2023,2017-07-27,2017-07-28,2023-02-28,Domestic Bond,2018-02-28,S,USD,USD,F,C,Non,43590000.0,0.0,43590000.0,100.0,1.99,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,1.99
